year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2013,7,31,2,19.0,19.0,22.0,999.0,NE,4.02,0.0,4.0
2010,12,16,22,98.0,-16.0,-5.0,1012.0,cv,1.78,0.0,0.0
2010,11,9,13,75.0,-8.0,8.0,1019.0,SE,3.58,0.0,0.0
2014,12,3,1,126.0,-17.0,-8.0,1025.0,NW,8.05,0.0,0.0
2012,1,14,3,125.0,-13.0,-6.0,1026.0,cv,0.89,0.0,0.0
2013,5,1,4,59.0,2.0,8.0,1018.0,NE,0.89,0.0,0.0
2014,1,25,23,59.0,-7.0,-1.0,1034.0,SE,10.28,0.0,0.0
2014,2,22,22,327.0,-3.0,3.0,1031.0,SE,8.94,0.0,0.0
2013,2,14,22,237.0,-17.0,0.0,1030.0,NW,4.02,0.0,0.0
2013,9,5,21,57.0,14.0,19.0,1016.0,SE,28.17,0.0,0.0
2010,9,1,23,81.0,18.0,21.0,1015.0,cv,1.78,0.0,0.0
2013,5,24,20,47.0,12.0,23.0,1012.0,NW,4.02,0.0,0.0
2010,6,3,4,133.0,13.0,16.0,1018.0,SE,8.04,0.0,0.0
2014,1,3,9,36.0,-13.0,4.0,1024.0,NW,11.17,0.0,0.0
2012,12,15,6,222.0,0.0,1.0,1022.0,SE,3.58,0.0,0.0
2012,10,29,12,67.0,5.0,14.0,1022.0,cv,0.89,0.0,0.0
2014,4,1,23,80.0,3.0,15.0,1010.0,NE,0.89,0.0,0.0
2013,8,6,23,177.0,26.0,30.0,1000.0,SE,3.13,0.0,0.0
2012,5,23,12,12.0,-3.0,26.0,1012.0,cv,4.02,0.0,0.0
2013,2,27,0,415.0,-4.0,-2.0,1019.0,NE,0.89,0.0,0.0
2012,8,18,5,153.0,22.0,23.0,1007.0,SE,67.95,0.0,0.0
2011,9,7,12,287.0,21.0,26.0,1005.0,SE,4.92,0.0,0.0
2010,3,9,22,27.0,-13.0,-5.0,1029.0,cv,1.78,0.0,0.0
2010,2,3,5,94.0,-17.0,-13.0,1030.0,NW,1.79,0.0,0.0
2013,10,21,11,115.0,2.0,15.0,1024.0,cv,4.9,0.0,0.0
2013,8,5,6,50.0,18.0,20.0,998.0,NW,4.47,0.0,0.0
2011,12,3,14,32.0,-11.0,6.0,1025.0,NW,1.79,0.0,0.0
2013,8,7,6,43.0,21.0,24.0,1002.0,cv,0.89,0.0,0.0
2012,8,25,23,114.0,19.0,22.0,1011.0,SE,27.71,0.0,0.0
2012,3,31,12,21.0,-17.0,11.0,1020.0,SE,4.02,0.0,0.0
2011,12,6,12,209.0,1.0,2.0,1031.0,NW,3.13,0.0,0.0
2010,2,3,17,34.0,-21.0,1.0,1026.0,NW,54.08,0.0,0.0
2013,7,27,2,76.0,21.0,25.0,1002.0,SE,3.13,0.0,1.0
2012,5,18,19,130.0,13.0,30.0,1005.0,NW,4.92,0.0,0.0
2010,3,25,14,16.0,-19.0,8.0,1025.0,NW,4.02,0.0,0.0
2012,11,28,12,10.0,-18.0,4.0,1023.0,NW,139.03,0.0,0.0
2014,4,25,11,167.0,11.0,23.0,1018.0,cv,2.68,0.0,0.0
2014,12,28,23,341.0,-10.0,-2.0,1017.0,cv,3.12,0.0,0.0
2013,10,13,0,96.0,10.0,16.0,1018.0,NW,3.58,0.0,2.0
2011,4,5,14,227.0,-7.0,18.0,1022.0,SE,38.45,0.0,0.0
2012,4,14,14,29.0,-6.0,30.0,1004.0,SE,20.11,0.0,0.0
2014,11,24,1,289.0,-1.0,-1.0,1027.0,NW,6.71,0.0,0.0
2010,4,5,0,199.0,2.0,12.0,1010.0,SE,31.74,0.0,0.0
2011,5,28,2,177.0,17.0,19.0,1009.0,SE,46.48,0.0,0.0
2011,7,19,16,73.0,22.0,28.0,1001.0,SE,4.92,0.0,0.0
2013,7,27,11,88.0,22.0,24.0,1000.0,NW,1.79,0.0,5.0
2014,4,16,8,44.0,2.0,15.0,1016.0,SE,0.89,0.0,0.0
2013,4,13,16,16.0,-2.0,25.0,1003.0,NW,38.0,0.0,0.0
2014,1,3,11,23.0,-16.0,8.0,1024.0,NW,17.43,0.0,0.0
2014,8,1,3,135.0,22.0,25.0,1006.0,cv,0.89,0.0,0.0
2013,9,15,2,20.0,7.0,15.0,1012.0,NW,15.2,0.0,0.0
2012,1,6,9,194.0,-11.0,-7.0,1039.0,SE,1.79,0.0,0.0
2013,1,8,8,159.0,-13.0,-10.0,1032.0,NE,1.79,0.0,0.0
2012,9,29,12,5.0,-2.0,23.0,1019.0,NW,11.17,0.0,0.0
2010,1,16,19,197.0,-12.0,-7.0,1032.0,cv,1.78,0.0,0.0
2011,2,22,1,489.0,-5.0,-3.0,1024.0,cv,0.89,0.0,0.0
2010,10,27,7,88.0,-3.0,-1.0,1032.0,cv,0.9,0.0,0.0
2014,4,8,23,138.0,4.0,18.0,1011.0,SE,38.0,0.0,0.0
2014,12,4,15,10.0,-24.0,2.0,1026.0,NW,64.37,0.0,0.0
2010,9,2,1,81.0,18.0,21.0,1014.0,cv,0.89,0.0,0.0
2014,11,4,21,208.0,3.0,5.0,1015.0,cv,0.89,0.0,0.0
2011,6,13,3,85.0,17.0,20.0,1007.0,cv,1.78,0.0,0.0
2012,10,22,18,15.0,-2.0,14.0,1019.0,NW,85.4,0.0,0.0
2011,11,22,21,7.0,-15.0,2.0,1028.0,NW,113.54,0.0,0.0
2013,1,1,3,21.0,-14.0,-10.0,1018.0,NW,14.75,0.0,0.0
2012,1,21,7,10.0,-27.0,-11.0,1038.0,NE,175.66,0.0,0.0
2011,11,10,4,56.0,-3.0,0.0,1021.0,NW,8.05,0.0,0.0
2012,12,1,17,79.0,-8.0,-2.0,1027.0,SE,26.83,0.0,0.0
2012,6,17,14,127.0,12.0,37.0,1000.0,SE,10.73,0.0,0.0
2011,11,15,7,185.0,-5.0,-3.0,1028.0,NW,1.79,0.0,0.0
2013,4,19,4,63.0,-2.0,7.0,1025.0,SE,18.78,0.0,0.0
2010,7,10,18,88.0,20.0,23.0,1005.0,SE,8.05,0.0,0.0
2012,4,3,6,17.0,-13.0,3.0,1020.0,NE,0.89,0.0,0.0
2011,1,4,16,61.0,-16.0,2.0,1024.0,NW,13.86,0.0,0.0
2014,8,31,14,65.0,21.0,27.0,1012.0,SE,4.92,0.0,0.0
2014,7,18,7,112.0,21.0,25.0,1008.0,SE,2.68,0.0,0.0
2010,7,15,23,266.0,22.0,24.0,1005.0,SE,3.13,0.0,1.0
2011,2,13,22,12.0,-13.0,-5.0,1032.0,NW,8.05,0.0,0.0
2013,2,11,0,55.0,-19.0,-8.0,1034.0,NE,1.79,0.0,0.0
2013,10,11,14,47.0,0.0,22.0,1013.0,SE,1.79,0.0,0.0
2010,12,3,14,65.0,-14.0,6.0,1020.0,SE,8.04,0.0,0.0
2012,8,7,19,68.0,25.0,29.0,1005.0,SE,21.0,0.0,0.0
2013,8,4,14,80.0,21.0,33.0,998.0,SE,10.29,0.0,0.0
2014,2,24,13,356.0,-5.0,7.0,1027.0,cv,0.89,0.0,0.0
2014,8,15,9,114.0,19.0,25.0,1008.0,NE,4.92,0.0,0.0
2014,3,26,12,331.0,8.0,19.0,1011.0,SE,1.79,0.0,0.0
2014,1,18,3,20.0,-17.0,-1.0,1033.0,NW,68.38,0.0,0.0
2010,9,21,1,20.0,14.0,15.0,1014.0,NE,34.87,0.0,7.0
2013,3,4,1,24.0,-14.0,9.0,1021.0,NW,16.09,0.0,0.0
2012,12,17,3,28.0,-6.0,-5.0,1031.0,NW,1.79,0.0,0.0
2011,1,29,9,9.0,-24.0,-9.0,1038.0,NE,3.13,0.0,0.0
2010,5,29,4,219.0,15.0,16.0,1007.0,SE,4.02,0.0,0.0
2013,10,21,22,121.0,3.0,8.0,1023.0,NE,0.89,0.0,0.0
2010,8,31,20,89.0,20.0,23.0,1011.0,SE,0.89,0.0,0.0
2011,2,12,15,49.0,-17.0,-2.0,1030.0,SE,4.92,0.0,0.0
2014,6,29,15,61.0,15.0,34.0,1005.0,SE,13.41,0.0,0.0
2014,1,25,1,55.0,-19.0,-1.0,1022.0,NW,1.79,0.0,0.0
2012,10,6,18,80.0,7.0,18.0,1022.0,SE,7.6,0.0,0.0
2013,11,27,5,5.0,-26.0,-4.0,1025.0,NW,154.22,0.0,0.0
2010,2,12,11,21.0,-22.0,-4.0,1036.0,NW,3.13,0.0,0.0
2013,9,1,8,39.0,13.0,21.0,1014.0,NE,3.13,0.0,0.0
2014,4,4,20,20.0,-19.0,17.0,1017.0,NE,26.37,0.0,0.0
2011,8,21,21,92.0,21.0,24.0,1011.0,cv,0.89,0.0,0.0
2010,4,19,5,343.0,8.0,13.0,1012.0,NW,5.37,0.0,0.0
2010,4,28,4,11.0,-10.0,6.0,1011.0,NW,246.32,0.0,0.0
2010,11,16,23,227.0,-4.0,-1.0,1023.0,NW,300.57,0.0,0.0
2013,10,18,22,273.0,7.0,11.0,1024.0,NE,0.89,0.0,0.0
2012,2,14,9,13.0,-17.0,-1.0,1028.0,NW,7.15,0.0,0.0
2011,3,27,9,20.0,-15.0,12.0,1026.0,NW,88.97,0.0,0.0
2014,4,6,2,64.0,-5.0,5.0,1020.0,NW,1.79,0.0,0.0
2011,12,21,5,11.0,-15.0,-6.0,1027.0,cv,0.89,0.0,0.0
2011,9,14,10,188.0,18.0,22.0,1011.0,cv,0.89,0.0,0.0
2014,12,29,10,132.0,-11.0,3.0,1014.0,cv,2.67,0.0,0.0
2011,4,1,6,18.0,-6.0,11.0,1023.0,NE,52.75,0.0,0.0
2012,7,16,7,130.0,21.0,25.0,1009.0,NW,1.79,0.0,0.0
2011,12,14,16,11.0,-20.0,0.0,1034.0,NW,148.88,0.0,0.0
2010,3,17,8,34.0,-15.0,1.0,1028.0,NE,33.97,0.0,0.0
2012,7,24,4,64.0,21.0,24.0,1008.0,cv,0.89,0.0,0.0
2014,5,22,6,242.0,17.0,20.0,1006.0,SE,0.89,0.0,0.0
2014,12,22,12,80.0,-13.0,6.0,1024.0,cv,1.78,0.0,0.0
2011,10,3,6,28.0,1.0,3.0,1030.0,NW,15.65,0.0,0.0
2012,6,15,8,12.0,13.0,25.0,1007.0,NW,9.84,0.0,0.0
2013,12,25,2,329.0,-11.0,-7.0,1029.0,NW,5.37,0.0,0.0
2012,3,7,8,10.0,-12.0,5.0,1023.0,NW,14.76,0.0,0.0
2011,10,9,8,284.0,15.0,17.0,1019.0,cv,0.89,0.0,0.0
2011,5,17,7,105.0,10.0,17.0,1001.0,SE,1.79,0.0,0.0
2013,10,18,7,227.0,3.0,5.0,1026.0,cv,2.24,0.0,0.0
2010,10,18,18,50.0,6.0,6.0,1025.0,NW,26.38,0.0,6.0
2013,9,3,20,119.0,17.0,22.0,1015.0,SE,9.39,0.0,0.0
2014,9,28,20,53.0,16.0,18.0,1015.0,SE,23.25,0.0,0.0
2013,8,19,23,48.0,19.0,24.0,1010.0,SE,4.47,0.0,0.0
2010,2,7,6,81.0,-7.0,-6.0,1024.0,NW,0.89,0.0,0.0
2014,4,26,14,52.0,2.0,22.0,1020.0,cv,2.68,0.0,0.0
2011,7,10,6,93.0,18.0,24.0,1007.0,SE,6.26,0.0,0.0
2014,6,9,19,33.0,13.0,22.0,1005.0,NE,11.17,0.0,0.0
2014,7,23,23,41.0,20.0,25.0,1003.0,SE,0.89,0.0,0.0
2014,2,1,21,132.0,-1.0,2.0,1013.0,SE,21.02,0.0,0.0
2012,7,24,14,69.0,23.0,30.0,1008.0,SE,1.79,0.0,0.0
2011,5,24,0,53.0,8.0,20.0,1013.0,SE,67.04,0.0,0.0
2011,9,21,9,30.0,5.0,19.0,1017.0,NE,4.02,0.0,0.0
2014,7,4,12,152.0,22.0,32.0,1005.0,cv,3.57,0.0,0.0
2013,9,9,0,45.0,15.0,20.0,1014.0,cv,1.78,0.0,1.0
2014,8,12,1,57.0,17.0,20.0,1005.0,cv,0.9,0.0,0.0
2013,4,9,3,6.0,-11.0,7.0,1016.0,NW,247.21,0.0,0.0
2011,2,28,8,37.0,-9.0,-2.0,1029.0,NW,16.99,0.0,0.0
2012,10,5,6,17.0,7.0,9.0,1017.0,NW,4.02,0.0,0.0
2013,12,26,7,11.0,-23.0,-5.0,1035.0,NW,204.74,0.0,0.0
2010,2,11,5,10.0,-23.0,-5.0,1034.0,NE,95.65,0.0,0.0
2014,10,19,2,389.0,12.0,14.0,1015.0,NE,0.89,0.0,0.0
2014,12,30,15,55.0,-14.0,6.0,1017.0,SE,11.63,0.0,0.0
2013,9,8,7,33.0,15.0,18.0,1017.0,NW,0.89,0.0,0.0
2012,1,4,1,13.0,-20.0,-6.0,1036.0,NW,355.84,0.0,0.0
2014,9,30,9,15.0,2.0,12.0,1029.0,cv,1.78,0.0,0.0
2011,6,24,22,48.0,15.0,24.0,1011.0,cv,1.79,0.0,0.0
2013,4,4,2,47.0,-4.0,9.0,1015.0,SE,73.32,0.0,0.0
2013,5,1,20,41.0,-1.0,21.0,1012.0,SE,29.05,0.0,0.0
2011,12,18,11,40.0,-20.0,0.0,1034.0,NE,33.97,0.0,0.0
2012,5,6,17,180.0,11.0,27.0,1002.0,SE,26.37,0.0,0.0
2011,8,6,1,112.0,22.0,24.0,1006.0,SE,46.95,0.0,0.0
2011,2,12,23,58.0,-9.0,-6.0,1030.0,SE,29.51,2.0,0.0
2014,11,25,0,90.0,-4.0,1.0,1026.0,NE,0.89,0.0,0.0
2013,9,19,9,125.0,17.0,22.0,1014.0,NW,1.79,0.0,0.0
2013,6,1,23,48.0,10.0,21.0,1008.0,cv,0.45,0.0,0.0
2013,12,10,2,44.0,-13.0,-6.0,1021.0,NE,1.79,0.0,0.0
2012,3,10,2,93.0,-7.0,-1.0,1023.0,SE,52.75,0.0,0.0
2010,1,28,5,32.0,-15.0,-3.0,1025.0,NE,25.03,0.0,0.0
2011,12,18,7,19.0,-18.0,-6.0,1035.0,NE,17.88,0.0,0.0
2012,2,3,17,72.0,-25.0,3.0,1021.0,NW,39.78,0.0,0.0
2011,4,9,20,107.0,-5.0,21.0,1011.0,NW,4.92,0.0,0.0
2010,8,1,13,49.0,14.0,31.0,1009.0,SE,4.02,0.0,0.0
2011,8,16,9,17.0,22.0,27.0,1004.0,NW,21.45,0.0,0.0
2013,7,29,10,81.0,23.0,29.0,1000.0,SE,0.89,0.0,0.0
2014,3,14,6,7.0,-24.0,6.0,1021.0,NW,57.67,0.0,0.0
2012,6,25,1,71.0,21.0,21.0,1004.0,cv,2.23,0.0,5.0
2010,11,29,11,121.0,-4.0,2.0,1020.0,NW,3.58,0.0,0.0
2014,7,11,16,13.0,13.0,35.0,999.0,NE,3.13,0.0,0.0
2010,11,27,21,35.0,-16.0,-3.0,1026.0,SE,9.84,0.0,0.0
2014,11,27,18,20.0,-15.0,6.0,1023.0,NE,23.69,0.0,0.0
2010,3,29,17,259.0,5.0,8.0,1021.0,cv,0.89,0.0,0.0
2014,6,10,23,94.0,17.0,19.0,1011.0,cv,1.78,0.0,0.0
2012,5,13,20,84.0,13.0,19.0,1006.0,NE,8.04,0.0,0.0
2012,6,3,14,216.0,21.0,23.0,1005.0,NE,1.79,0.0,2.0
2010,1,31,9,17.0,-17.0,2.0,1026.0,NW,120.66,0.0,0.0
2014,3,24,11,280.0,1.0,15.0,1015.0,cv,2.67,0.0,0.0
2010,7,16,5,231.0,22.0,23.0,1005.0,SE,1.79,0.0,0.0
2014,7,26,17,76.0,16.0,35.0,1007.0,SE,19.66,0.0,0.0
2012,9,2,17,16.0,18.0,23.0,1009.0,NE,1.79,0.0,0.0
2014,8,29,8,68.0,18.0,21.0,1016.0,cv,0.89,0.0,0.0
2014,12,16,13,25.0,-20.0,0.0,1030.0,NW,261.5,0.0,0.0
2011,6,9,11,152.0,18.0,30.0,1004.0,SE,1.79,0.0,0.0
2013,12,5,5,33.0,-13.0,3.0,1023.0,NW,1.79,0.0,0.0
2012,6,19,6,139.0,18.0,21.0,1002.0,SE,33.08,0.0,0.0
2010,7,20,3,54.0,19.0,22.0,1003.0,NW,0.89,0.0,5.0
2011,3,30,4,115.0,-4.0,4.0,1021.0,NW,0.89,0.0,0.0
2012,7,19,8,126.0,23.0,25.0,1007.0,SE,8.95,0.0,0.0
2012,9,8,18,60.0,17.0,25.0,1013.0,SE,13.41,0.0,0.0
2010,11,28,7,79.0,-12.0,-6.0,1022.0,SE,2.68,0.0,0.0
2013,12,4,0,167.0,-10.0,3.0,1021.0,cv,2.68,0.0,0.0
2013,6,11,18,20.0,15.0,24.0,1005.0,NW,3.13,0.0,0.0
2010,2,25,0,164.0,2.0,4.0,1010.0,cv,1.78,0.0,0.0
2014,5,5,0,67.0,-2.0,8.0,1018.0,cv,0.89,0.0,0.0
2013,6,4,4,174.0,16.0,22.0,1009.0,SE,16.1,0.0,0.0
2010,2,18,23,296.0,-16.0,-3.0,1021.0,cv,0.89,0.0,0.0
2011,5,4,6,93.0,6.0,15.0,1012.0,SE,44.71,0.0,0.0
2013,12,1,6,90.0,-13.0,-6.0,1025.0,NW,0.89,0.0,0.0
2010,7,15,5,141.0,21.0,24.0,1007.0,SE,5.37,0.0,0.0
2013,10,7,16,15.0,-1.0,24.0,1022.0,NE,24.13,0.0,0.0
2013,4,18,11,8.0,-17.0,11.0,1025.0,NE,34.86,0.0,0.0
2011,1,19,2,20.0,-23.0,-12.0,1034.0,NW,106.83,0.0,0.0
2012,11,4,16,23.0,0.0,4.0,1013.0,NW,200.74,0.0,31.0
2013,11,23,17,222.0,-7.0,13.0,1019.0,SE,4.02,0.0,0.0
2011,11,24,10,96.0,-8.0,-1.0,1028.0,cv,1.78,0.0,0.0
2011,11,26,16,210.0,-5.0,6.0,1019.0,cv,0.89,0.0,0.0
2013,5,2,0,71.0,1.0,16.0,1013.0,SE,38.89,0.0,0.0
2010,2,26,18,70.0,-7.0,3.0,1020.0,SE,16.08,0.0,0.0
2014,6,26,15,66.0,19.0,33.0,1001.0,cv,1.79,0.0,0.0
2013,11,13,11,185.0,-2.0,7.0,1022.0,SE,0.89,0.0,0.0
2014,9,29,12,17.0,7.0,23.0,1019.0,NE,21.45,0.0,0.0
2010,7,18,12,149.0,23.0,32.0,1006.0,SE,1.79,0.0,0.0
2013,4,13,0,59.0,1.0,11.0,1006.0,NE,0.89,0.0,0.0
2010,5,9,17,56.0,-9.0,21.0,1007.0,NW,16.99,0.0,0.0
2011,2,9,6,199.0,-8.0,-7.0,1026.0,cv,0.89,0.0,0.0
2010,7,15,3,126.0,22.0,24.0,1007.0,SE,1.79,0.0,0.0
2012,6,18,15,164.0,16.0,32.0,1001.0,SE,21.9,0.0,0.0
2013,7,9,15,46.0,21.0,23.0,1003.0,NE,1.79,0.0,4.0
2014,1,25,12,15.0,-22.0,6.0,1028.0,NE,14.75,0.0,0.0
2013,10,28,1,402.0,3.0,6.0,1018.0,NW,1.78,0.0,0.0
2012,3,7,23,11.0,-19.0,1.0,1028.0,NW,123.83,0.0,0.0
2010,2,12,6,9.0,-22.0,-9.0,1038.0,NW,11.17,0.0,0.0
2013,10,14,1,77.0,10.0,13.0,1019.0,NW,1.79,0.0,1.0
2014,10,31,22,188.0,10.0,14.0,1020.0,SE,4.92,0.0,0.0
2012,2,6,9,12.0,-21.0,-3.0,1027.0,NW,59.01,0.0,0.0
2010,6,23,19,62.0,12.0,27.0,1007.0,SE,31.28,0.0,0.0
2014,7,30,17,130.0,21.0,28.0,1005.0,SE,18.34,0.0,0.0
2011,1,5,6,24.0,-21.0,-8.0,1030.0,NW,130.07,0.0,0.0
2012,6,4,17,66.0,12.0,32.0,1001.0,SE,26.37,0.0,0.0
2012,6,6,11,191.0,16.0,28.0,1001.0,SE,1.79,0.0,0.0
2012,5,19,11,298.0,18.0,26.0,1009.0,SE,17.45,0.0,0.0
2012,2,17,3,11.0,-20.0,-7.0,1031.0,NW,150.21,0.0,0.0
2010,11,7,17,16.0,-7.0,10.0,1020.0,NW,113.99,0.0,0.0
2012,2,7,19,12.0,-25.0,-6.0,1029.0,NW,75.99,0.0,0.0
2014,9,27,2,61.0,14.0,14.0,1014.0,NW,3.13,0.0,0.0
2011,7,28,2,171.0,24.0,26.0,1004.0,SE,42.9,0.0,0.0
2013,4,16,6,63.0,1.0,6.0,1004.0,NW,6.71,0.0,0.0
2012,6,23,15,167.0,21.0,25.0,1001.0,cv,0.89,0.0,0.0
2010,9,16,8,219.0,21.0,24.0,1011.0,SE,70.64,0.0,0.0
2012,4,18,20,225.0,12.0,17.0,1008.0,cv,0.89,0.0,0.0
2011,8,12,14,159.0,24.0,32.0,1002.0,SE,8.05,0.0,0.0
2014,4,15,15,54.0,-4.0,20.0,1019.0,SE,39.33,0.0,0.0
2011,5,20,13,12.0,-4.0,18.0,1015.0,NW,92.09,0.0,0.0
2011,11,22,0,380.0,-2.0,3.0,1025.0,cv,0.89,0.0,0.0
2010,8,20,10,79.0,22.0,28.0,1015.0,NW,16.99,0.0,0.0
2010,10,23,12,225.0,12.0,15.0,1018.0,NE,1.79,0.0,0.0
2013,5,1,5,46.0,4.0,8.0,1018.0,cv,0.89,0.0,0.0
2011,1,18,1,12.0,-22.0,-10.0,1035.0,NW,4.02,0.0,0.0
2010,8,5,5,35.0,20.0,23.0,1004.0,NW,13.41,0.0,0.0
2014,10,9,15,373.0,15.0,22.0,1018.0,SE,1.79,0.0,0.0
2010,12,18,22,308.0,-10.0,-5.0,1014.0,cv,1.78,0.0,0.0
2012,7,26,11,61.0,24.0,26.0,1004.0,SE,12.07,0.0,0.0
2013,12,10,21,7.0,-21.0,1.0,1022.0,NW,112.2,0.0,0.0
2013,9,11,4,39.0,11.0,15.0,1014.0,NE,0.89,0.0,0.0
2014,12,30,11,48.0,-15.0,6.0,1020.0,SE,1.79,0.0,0.0
2014,7,7,20,188.0,22.0,28.0,1000.0,SE,50.09,0.0,0.0
2012,10,23,2,48.0,4.0,4.0,1018.0,cv,2.23,0.0,0.0
2012,2,1,8,13.0,-27.0,-11.0,1036.0,NW,4.02,0.0,0.0
2010,7,30,8,206.0,25.0,26.0,1000.0,cv,0.89,0.0,1.0
2010,3,5,17,18.0,-25.0,2.0,1029.0,NE,3.13,0.0,0.0
2010,3,4,7,126.0,-4.0,-1.0,1015.0,SE,3.58,0.0,0.0
2010,10,8,9,348.0,14.0,15.0,1017.0,NE,2.68,0.0,0.0
2011,7,25,20,63.0,25.0,26.0,999.0,SE,4.47,0.0,0.0
2013,6,21,20,48.0,16.0,26.0,1008.0,SE,46.94,0.0,0.0
2010,3,8,4,63.0,-5.0,-4.0,1038.0,SE,10.29,3.0,0.0
2012,8,15,3,68.0,17.0,17.0,1005.0,SE,0.89,0.0,0.0
2011,2,4,21,149.0,-11.0,-2.0,1025.0,SE,22.35,0.0,0.0
2010,4,13,3,13.0,-14.0,3.0,1026.0,NW,180.16,0.0,0.0
2011,10,17,23,78.0,4.0,7.0,1024.0,NE,0.89,0.0,0.0
2014,11,30,1,254.0,2.0,4.0,1020.0,NE,0.89,0.0,0.0
2011,1,24,2,11.0,-21.0,-10.0,1034.0,NW,268.68,0.0,0.0
2014,5,30,11,104.0,12.0,33.0,1007.0,SE,9.83,0.0,0.0
2011,2,22,14,360.0,-5.0,7.0,1019.0,cv,3.57,0.0,0.0
2011,3,16,4,19.0,-11.0,0.0,1025.0,NE,4.02,0.0,0.0
2014,2,7,18,109.0,-7.0,-3.0,1025.0,SE,51.43,13.0,0.0
2013,5,9,20,64.0,12.0,16.0,1008.0,SE,1.79,0.0,0.0
2013,3,14,19,127.0,-5.0,5.0,1024.0,SE,25.04,0.0,0.0
2010,7,25,18,128.0,21.0,33.0,1008.0,SE,27.72,0.0,0.0
2013,8,31,18,21.0,10.0,25.0,1010.0,SE,2.68,0.0,0.0
2014,1,19,14,205.0,-9.0,3.0,1020.0,SE,1.79,0.0,0.0
2014,3,24,3,261.0,-1.0,6.0,1017.0,NW,1.79,0.0,0.0
2012,12,5,23,29.0,-17.0,-10.0,1025.0,SE,0.89,0.0,0.0
2011,11,14,22,235.0,-4.0,1.0,1027.0,NE,2.68,0.0,0.0
2012,8,26,18,166.0,19.0,27.0,1009.0,SE,28.61,0.0,0.0
2014,1,23,10,245.0,-14.0,-2.0,1017.0,cv,1.34,0.0,0.0
2011,10,17,6,17.0,1.0,7.0,1022.0,NW,5.81,0.0,0.0
2011,5,14,2,31.0,-7.0,21.0,1011.0,NW,179.7,0.0,0.0
2012,6,24,12,143.0,21.0,24.0,1003.0,SE,35.76,0.0,1.0
2014,12,16,4,10.0,-19.0,-5.0,1032.0,NW,197.59,0.0,0.0
2011,6,15,9,170.0,20.0,25.0,1003.0,SE,4.92,0.0,0.0
2013,11,9,7,176.0,0.0,6.0,1022.0,NW,2.68,0.0,0.0
2010,1,9,10,73.0,-17.0,-7.0,1029.0,NE,11.62,0.0,0.0
2010,11,27,12,8.0,-22.0,3.0,1025.0,NW,148.42,0.0,0.0
2012,9,15,7,20.0,11.0,14.0,1021.0,NW,17.43,0.0,0.0
2013,9,22,10,91.0,16.0,20.0,1016.0,cv,2.67,0.0,0.0
2013,6,12,6,61.0,14.0,15.0,1008.0,NE,0.89,0.0,0.0
