days_since_first_submit,paper_year,title_word_count,abstract_word_count,Category,Title,arXiv_Code,Abstract
204.0,2018.0,5,76,2,Yang-Mills theory from the worldsheet,arXiv:1807.09171,"We give a new description of classical Yang-Mills theory by coupling a two-dimensional chiral CFT (which gives the tree-level S-matrix of Yang-Mills theory at genus zero) to a background non-abelian gauge field. The resulting model is solvable, and when the gravitational degrees of freedom are decoupled the non-linear Yang-Mills equations are imposed as an exact worldsheet anomaly cancellation condition. When gravitational modes are reinstated, we find gauge anomalies analogous to those appearing in heterotic string theory."
382.0,2019.0,11,59,5,Quasi-normal modes and fermionic vacuum decay around a Kerr black hole,arXiv:1809.03480,"We analyze the instability of the non-rotating fermion vacuum in Kerr spacetimes. We describe how the co-rotating Fermi sea is formed as a result of a spontaneous vacuum decay. Most significantly, and drawing upon intuition gained from analogous electrodynamic processes in supercritical fields, we show that this decay process is encoded entirely in a subset of quasi-normal fermion modes."
336.0,2018.0,7,89,0,Device-independent entanglement certification of all entangled states,arXiv:1801.10444,"We present a method to certify the entanglement of all bipartite entangled quantum states in a device-independent way. This is achieved by placing the state in a quantum network and constructing a correlation inequality based on an entanglement witness for the state. Our method is device-independent, in the sense that entanglement can be certified from the observed statistics alone, under minimal assumptions on the underlying physics. Conceptually, our results borrow ideas from the field of self-testing to bring the recently introduced measurement-device-independent entanglement witnesses into the fully device-independent regime."
1418.0,2021.0,9,81,2,Scalar correlators and normal modes in holographic neutron stars,arXiv:2111.10408,"We study a scalar field in the background of a holographic neutron star at finite temperature and analyze its asymptotic behavior to compute the two-point correlator at the boundary. From the normal modes of the field we determine the resonances and decay constants of the boundary field theory. We show that the correlator is dominated by the normal modes in the stable regions of phase space of the neutron star, becoming a power law as we move into the unstable zones."
1258.0,2021.0,5,96,13,Airy beams on incoherent background,arXiv:2106.06825,"We present a class of diffraction-free partially coherent beams each member of which is comprised of a finite power, non-accelerating Airy bump residing on a statistically homogeneous, Gaussian-correlated background. We examine free-space propagation of soft apertured realizations of the proposed beams and show that their evolution is governed by two spatial scales: the coherence width of the background and aperture size. A relative magnitude of these factors determines the practical range of propagation distances over which the novel beams can withstand diffraction. The proposed beams can find applications to imaging and optical communications through random media."
58.0,2018.0,12,39,1,Questions and challenges of what powers galactic outflows in active galactic nuclei,arXiv:1802.10307,"Different mechanisms can drive outflows in active galactic nuclei (AGN), but it is often unclear which mechanism dominates, if any. To quantify the impact of AGN feedback on galaxy evolution, the driving mechanism of outflows must be better understood."
1057.0,2020.0,5,90,0,Geometrical dependence in Casimir-Polder repulsion,arXiv:2011.11870,"Repulsion, induced from quantum vacuum fluctuations, for an anisotropically polarizable atom on the symmetry axis of an anisotropically polarizable annular disc is studied. There exists two torsion free points on each side of the annular disc, where the interaction energy is orientation independent. The position of second of the two torsion free points, on either side of the disc, is shown to determine the orientation dependence of the atom at distances far from the plate, revealing a geometrical dependence. In the ring limit of the annular disc, new repulsion emerges."
663.0,2019.0,14,67,5,No scalar hair in nonminimal derivative coupling model for Neumann and Dirichlet reflecting star,arXiv:1909.12808,"We investigate the existence of scalar hair in the background of a reflecting star. The kinetic part of the scalar field is nonminimally coupled to the Einstein tensor. For both the Dirichlet and the Neumann boundary conditions, we study the no-hair theorem. For the massless case, we show that there is no scalar hair, and in the massive case conditions leading to the no-hair theorem are specified."
574.0,2019.0,13,79,0,Collapse models: main properties and the state of art of the experimental tests,arXiv:1907.12460,"Collapse models represent one of the possible solutions to the measurement problem. These models modify the Schrödinger dynamics with non-linear and stochastic terms, which guarantee the localization in space of the wave function avoiding macroscopic superpositions, like that described in the Schrödinger's cat paradox. The Ghirardi-Rimini-Weber (GRW) and the Continuous Spontaneous Localization (CSL) models are the most studied among the collapse models. Here, we briefly summarize the main features of these models and the advances in their experimental investigation."
401.0,2019.0,11,54,5,High-order asymptotics for the Spin-Weighted Spheroidal Equation at large real frequency,arXiv:1810.00432,"The spin-weighted spheroidal eigenvalues and eigenfunctions arise in the separation by variables of spin-field perturbations of Kerr black holes. We derive a large, real-frequency asymptotic expansion of the spin-weighted spheroidal eigenvalues and eigenfunctions to high order. This expansion corrects and extends existing results in the literature and we validate it via a numerical calculation."
867.0,2020.0,5,95,0,Quantum hybrid optomechanical inertial sensing,arXiv:2005.08405,"We discuss the design of quantum hybrid inertial sensor that combines an optomechanical inertial sensor with the retro-reflector of a cold atom interferometer. This sensor fusion approach provides absolute and high accuracy measurements with cold atom interferometers, while utilizing the optomechanical inertial sensor at frequencies above the repetition rate of the atom interferometer. This improves the overall measurement bandwidth as well as the robustness and field deployment capabilities of these systems. We evaluate which parameters yield an optimal acceleration sensitivity, from which we anticipate a noise floor at nano-g levels from DC to 1 kHz."
1274.0,2021.0,5,87,12,Connectedness percolation of fractal liquids,arXiv:2106.14992,"We apply connectedness percolation theory to fractal liquids of hard particles, and make use of a Percus-Yevick liquid state theory combined with a geometric connectivity criterion. We find that in fractal dimensions the percolation threshold interpolates continuously between integer-dimensional values, and that it decreases monotonically with increasing (fractal) dimension. The influence of hard-core interactions is only significant for dimensions below three. Finally, our theory incorrectly suggests that a percolation threshold is absent below about two dimensions, which we attribute to the breakdown of the connectedness Percus-Yevick closure."
700.0,2019.0,5,99,2,The geometry of RN-AdS fluids,arXiv:1912.01183,"We establish the parameter space geometry of a fluid system characterized by two constants, whose equation of state mimics that of the RN-AdS black hole. We call this the RN-AdS fluid. We study the scalar curvature on the parameter space of this system, and show its equivalence with the RN-AdS black hole, in the limit of vanishing specific heat at constant volume. Further, an analytical construction of the Widom line is established. We also numerically study the behavior of geodesics on the parameter space of the fluid, and find a geometric scaling relation near its second order critical point."
8.0,2018.0,5,91,3,Chiral criticality and glue dynamics,arXiv:1801.03213,"The chiral order-parameter $σ$ field and its higher-order cumulants of fluctuations are calculated within the functional renormalization group approach. The influence of the glue dynamics on the fluctuations of $σ$ field is investigated, and we find that the $σ$-field fluctuations are weakly affected by the glue dynamics. This is in sharp contrast to the baryon number fluctuations, which are sensitive to the glue dynamics and involve information of the color confinement. Implications of our calculated results on theoretical and experimental efforts to search for the QCD critical ending point are discussed."
1170.0,2021.0,7,78,4,Difference between angular momentum and pseudoangular momentum,arXiv:2010.15616,"In condensed matter systems it is necessary to distinguish between the momentum of the constituents of the system and the pseudomomentum of quasiparticles. The same distinction is also valid for angular momentum and pseudoangular momentum. Based on Noether's theorem, we demonstrate that the recently discussed orbital angular momenta of phonons and magnons are pseudoangular momenta. This conceptual difference is important for a proper understanding of the transfer of angular momentum in condensed matter systems, especially in spintronics applications."
1745.0,2022.0,7,95,2,Quantum corrections to frame-dragging in scattering amplitudes,arXiv:2207.04970,"Frame-dragging effect manifests itself as polarization direction rotation when linearly polarized electromagnetic/gravitational wave scatters from a spinning point source through gravitational interactions, an effect also known as the gravitational Faraday rotation. Treating general relativity as an effective field theory, the Faraday rotation angle and its quantum corrections are computed using scattering amplitudes. While the classical rotation angle is universal as expected from the equivalence principle, the quantum corrections are found to be different between electromagnetic and gravitational waves, supporting earlier studies that some formulations of the equivalence principle may need reformulation in the quantum regime."
834.0,2020.0,13,86,4,Lifting of Spin Blockade by Charged Impurities in Si-MOS Double Quantum Dot Devices,arXiv:1807.11064,"One obstacle that has slowed the development of electrically gated metal-oxide-semiconductor (MOS) singlet-triplet qubits is the frequent lack of observed spin blockade, even in samples with large singlet-triplet energy splittings. We present theoretical and experimental evidence that the cause of this problem in MOS double quantum dots is the stray positive charges in the oxide inducing accidental levels near the device's active region that allow spin blockade lifting. We also present evidence that these effects can be mitigated by device design modifications, such as overlapping gates."
1229.0,2021.0,12,65,5,"Palatini gravity with nonmetricity, torsion, and boundaries in metric and connection variables",arXiv:2105.07053,"We prove the equivalence in the covariant phase space of the metric and connection formulations for Palatini gravity, with nonmetricity and torsion, on a spacetime manifold with boundary. To this end, we will rely on the cohomological approach provided by the relative bicomplex framework. Finally, we discuss some of the physical implications derived from this equivalence in the context of singularity identification through curvature invariants."
1001.0,2020.0,6,70,8,On the cosmic origin of Fluorine,arXiv:2009.13374,"The cosmic origin of fluorine, the ninth element of the Periodic Table, is still under debate. The reason for this fact is the large difficulties in observing stellar diagnostic lines, which can be used for the determination of the fluorine abundance in stars. Here we discuss some recent work on the chemical evolution of fluorine in the Milky Way and discuss the main contributors to the cosmic budget of fluorine."
1310.0,2021.0,16,40,13,Dark quadratic localized states and collapsed snaking in doubly resonant dispersive cavity enhanced second harmonic generation,arXiv:2108.01367,"We theoretically investigate the dynamics, bifurcation structure and stability of quadratic dark localized dissipative states arising in cavity enhanced second-harmonic generation. These states, formed through the locking of plane front waves, undergo collapsed homoclinic snaking and may exhibit oscillatory dynamics."
954.0,2020.0,11,88,3,Vacuum and thermal fluctuation energies of a soliton at finite temperatures,arXiv:2007.05731,We have studied the vacuum and thermal fluctuation energies of a soliton at finite temperatures. First the vacuum energy coming from the Dirac sea is calculated by a summation of the discrete and continuum energy spectrum of the Dirac equation in the background field of a soliton. And all the divergences are removed by the same renormalization scheme at zero temperature. Then the vacuum energy and thermal fluctuation energy at finite temperatures in a temperature dependent soliton background are calculated. And the numerical results are analyzed and discussed.
1653.0,2022.0,16,69,7,A Simple and Precise Way to Determine Electrical Resistivity of Isotropic Conductors: Simplifying the Four-Probe Method,arXiv:2207.05863,COMSOL Multiphysics software is used to describe the behavior of the electrical resistivity of several samples with rectangular shape typically used in the Montgomery method. The simulation data obtained using four isotropic conductors allowed us to understand in detail the behavior of the electric potential and electric field of the samples. The results provide an analytical method which can substitute the four-probe method with much more simplicity and precision.
686.0,2019.0,13,86,5,Anisotropic fluid spheres in Hořava gravity and Einstein-æther theory with a non-static æther,arXiv:1906.07738,In this paper we consider spherically symmetric interior spacetimes filled by anisotropic fluids in the context of Hořava gravity and Einstein-aether theory. We assume a specific non-static configuration of the aether vector field and show that the field equations admit a family of exact analytical solutions which can be obtained if one of the two metric coefficients is assigned. We study as an illustrative example the case in which the metric of the interior spacetime reproduces the Newtonian potential of a fluid sphere with constant density.
1451.0,2021.0,11,26,3,Correlators of heavy-light quark currents in HQET: OPE at three loops,arXiv:2111.14571,Coefficient functions of the operator product expansion of correlators of HQET heavy--light quark currents are calculated up operators of dimension 4 up to to 3 loops.
623.0,2019.0,6,80,2,Comments on Anomalies in Supersymmetric Theories,arXiv:1909.07084,"We analyse the relation between anomalies in their manifestly supersymmetric formulation in superspace and their formulation in Wess-Zumino (WZ) gauges. We show that there is a one-to-one correspondence between the solutions of the cohomology problem in the two formulations and that they are related by a particular choice of a superspace counterterm (""scheme""). Any apparent violation of $Q$-supersymmetry is due to an explicit violation by the counterterm which defines the scheme equivalent to the WZ gauge. It is therefore removable."
1074.0,2020.0,10,67,6,Grand Unified Neutrino Spectrum at Earth: Sources and Spectral Components,arXiv:1910.11878,"We briefly review the dominant neutrino fluxes at Earth from different sources and present the Grand Unified Neutrino Spectrum ranging from meV to PeV energies. For each energy band and source, we discuss both theoretical expectations and experimental data. This compact review should be useful as a brief reference to those interested in neutrino astronomy, fundamental particle physics, dark-matter detection, high-energy astrophysics, geophysics, and other related topics."
855.0,2020.0,3,97,14,Liquid-crystal-based topological photonics,arXiv:2005.02476,"Topological photonics harnesses the physics of topological insulators to control the behavior of light. Photonic modes robust against material imperfections are an example of such control. In this work, we propose a soft-matter platform based on nematic liquid crystals that supports photonic topological insulators. The orientation of liquid crystal molecules introduces an extra geometric degree of freedom which in conjunction with suitably designed structural properties, leads to the creation of topologically protected states of light. The use of soft building blocks potentially allows for reconfigurable systems that exploit the interplay between light and the soft responsive medium."
212.0,2018.0,9,65,9,Vortex liquid phase in the p-wave ferromagnetic superconductor UCoGe,arXiv:1803.08468,"The upper critical field for field along the b-axis of the p-wave ferromagnetic superconductor UCoGe has a particular S-shape, akin to the re-entrant superconducting phase of URhGe. To explore the evolution of the superconducting phase under this transverse magnetic field, we report the thermal conductivity and resistivity measurements, revealing a possible field-induced vortex liquid phase, and supporting a field-induced change of the superconducting order parameter."
984.0,2020.0,7,93,0,A trusted-node-free eight-user metropolitan quantum communication network,arXiv:1907.08229,"Quantum communication is rapidly gaining popularity due to its high security and technological maturity. However, most implementations are limited to just two communicating parties (users). Quantum communication networks aim to connect a multitude of users. Here we present a fully connected quantum communication network on a city wide scale without active switching or trusted nodes. We demonstrate simultaneous and secure connections between all 28 pairings of 8 users. Our novel network topology is easily scalable to many users, allows traffic management features and minimises the infrastructure as well as the user hardware needed."
1294.0,2021.0,4,91,2,A Generalized Momentum/Complexity Correspondence,arXiv:2012.02603,"Holographic complexity, in the guise of the Complexity = Volume prescription, comes equipped with a natural correspondence between its rate of growth and the average infall momentum of matter in the bulk. This Momentum/Complexity correspondence can be related to an integrated version of the momentum constraint of general relativity. In this paper we propose a generalization, using the full Codazzi equations as a starting point, which successfully accounts for purely gravitational contributions to infall momentum. The proposed formula is explicitly checked in an exact pp-wave solution of the vacuum Einstein equations."
327.0,2018.0,10,50,3,Two-loop corrections to false vacuum decay in scalar field theory,arXiv:1805.06482,We consider radiative corrections to false vacuum decay in a four-dimensional scalar field theory with cubic and quartic potential. Using planar thin wall approximation we were able to get analytical expression for the decay rate up to two loop order. The results obtained employ dimensional regularization and $\overline{MS}$ renormalization scheme.
249.0,2018.0,9,31,5,Remark on near-horizon geometry of extreme regular black holes,arXiv:1806.03815,It is shown that the near horizon geometry of a generic extreme regular black hole solution of Einstein gravity coupled to nonlinear electrodynamics is described by the $AdS_2 \times S^2$ spacetime.
345.0,2018.0,4,39,5,Nonminimally coupled Weyl gravity,arXiv:1812.04976,"Weyl gravity in the presence of a non-minimal matter-curvature coupling is presented. Some properties arising from the non-metricity give rise to a second order theory whose vacuum is compatible with a cosmological constant, under conditions on the vector field."
1087.0,2020.0,10,60,4,Second order interference of chaotic light reflected from random medium,arXiv:1412.3440,"We consider the reflection from a random medium of light with short coherence length. We found that the second order correlation function of light can have a peak in a direction where the reflection angle is equal to angle of incidence. This occurs when the size of the region, from which light is collected, is larger than the coherence length."
867.0,2020.0,9,85,2,Staccato radiation from the decay of large amplitude oscillons,arXiv:1910.04128,"We study the decay of large amplitude, almost periodic breather-like states in a deformed sine-Gordon model in one spatial dimension. We discover that these objects decay in a staggered fashion via a series of transitions, during which higher harmonics are released as short, staccato bursts of radiation. Further, we argue that this phenomenon is not restricted to one particular model, and that similar mechanisms of radiative decay of long-lived oscillating states can be observed for a wide class of physical systems, including the $φ^6$ model."
1698.0,2022.0,11,100,2,The second law of black hole mechanics in effective field theory,arXiv:2205.15341,"We investigate the second law of black hole mechanics in gravitational theories with higher derivative terms in the action. Wall has described a method for defining an entropy that satisfies the second law to linear order in perturbations around a stationary black hole. We show that this can be extended to define an entropy that satisfies the second law to quadratic order in perturbations, provided that one treats the higher derivative terms in the sense of effective field theory. We also address some outstanding issues with Wall's method, in particular, its gauge invariance and its relation to the Iyer-Wald entropy."
1666.0,2022.0,10,71,0,Convolution algebra of superoperators and nonseparability witnesses for quantum operations,arXiv:2108.08776,"We define a product between quantum superoperators which is preserved under the Choi-Jamiołkowski-Kraus-Sudarshan channel-state isomorphism. We then identify the product as the convolution on the space of superoperators, with respect to which the channel-state duality is also an algebra isomorphism. We find that any witness operator for detecting nonseparability of quantum operations on separated parties can be written entirely within the space of superoperators with the help of the convolution product."
995.0,2020.0,8,69,2,Finite Quantum Gravity Amplitudes -- no strings attached,arXiv:2007.00733,"We study the gravity-mediated scattering of scalar fields based on a parameterisation of the Lorentzian quantum effective action. We demonstrate that the interplay of infinite towers of spin zero and spin two poles at imaginary squared momentum leads to scattering amplitudes that are compatible with unitarity bounds, causal, and scale-free at trans-Planckian energy. Our construction avoids introducing non-localities or the massive higher-spin particles that are characteristic in string theory."
1211.0,2021.0,2,94,5,Clock-dependent spacetime,arXiv:2012.14416,"Einstein's theory of general relativity is based on the premise that the physical laws take the same form in all coordinate systems. However, it still presumes a preferred decomposition of the total kinematic Hilbert space into local kinematic Hilbert spaces. In this paper, we consider a theory of quantum gravity that does not come with a preferred partitioning of the kinematic Hilbert space. It is pointed out that, in such a theory, dimension, signature, topology and geometry of spacetime depend on how a collection of local clocks is chosen within the kinematic Hilbert space."
253.0,2018.0,11,64,8,Propagation of Leaky MHD Waves at Discontinuities with Tilted Magnetic Field,arXiv:1809.03907,"We investigate the characteristics of magneto-acoustic surface waves propagating at a single density interface, in the presence of an inclined magnetic field. For linear wave propagation, dispersion relation is obtained and analytical solutions are derived for small inclination angle. The inclination of the field renders the frequency of waves to be complex, where the imaginary part describes wave attenuation, due to lateral energy leakage."
1157.0,2021.0,11,72,5,Binary neutron star merger simulations with hot microscopic equations of state,arXiv:2103.02365,"We perform binary neutron star merger simulations using a newly derived set of finite-temperature equations of state in the Brueckner-Hartree-Fock approach. We point out the important and opposite roles of finite temperature and rotation for stellar stability and systematically investigate the gravitational-wave properties, matter distribution, and ejecta properties in the postmerger phase for the different cases. The validity of several universal relations is also examined and the most suitable EOSs are identified."
1522.0,2022.0,8,94,12,Stochastic thermodynamics of a piezoelectric energy harvester model,arXiv:2105.13661,"We experimentally study a piezoelectric energy harvester driven by broadband random vibrations. We show that a linear model, consisting of an underdamped Langevin equation for the dynamics of the tip mass, electromechanically coupled with a capacitor and a load resistor, can accurately describe the experimental data. In particular, the theoretical model allows us to define fluctuating currents and to study the stochastic thermodynamics of the system, with focus on the distribution of the extracted work over different time intervals. Our analytical and numerical analysis of the linear model is successfully compared to the experiments"
168.0,2018.0,12,26,14,"Comment on ""Replica Symmetry Breaking in Trajectories of a Driven Brownian Particle""",arXiv:1806.06824,"We comment on a Letter [Phys. Rev. Lett. 115, 080605 (2015), arXiv:1411.1816] ""Replica symmetry breaking in trajectories of a driven Brownian particle"" and author reply [arXiv:1805.10474]"
1793.0,2022.0,7,39,5,Extremal black holes have external light rings,arXiv:2211.15983,It is proved that spherically symmetric extermal black holes possess at least one external light ring. Our remarkably compact proof is based on the dominant energy condition which characterizes the external matter fields in the non-vacuum extremal black-hole spacetimes.
658.0,2019.0,6,73,0,Topological bound states for quantum charges,arXiv:1904.10542,"We discuss how, in appropriately designed configurations, solenoids carrying a semifluxon can be used as topological energy barriers for charged quantum systems. We interpret this phenomenon as a consequence of the fact that such solenoids induce nodal lines in the wave function describing the charge, which on itself is a consequence of the Aharonov-Bohm effect. Moreover, we present a thought experiment with a cavity where two solenoids are sufficient to create bound states."
569.0,2019.0,7,84,4,Delocalization of edge states in topological phases,arXiv:1903.10790,"The presence of a topologically non-trivial discrete invariants implies the existence of gapless modes in finite samples, but it does not necessarily imply their localization. The disappearance of the indirect energy gap in the bulk generically leads to the absence of localized edge states. We illustrate this behavior in two fundamental lattice models on the single-particle level. By tuning a hopping parameter the indirect gap is closed while maintaining the topological properties. The inverse participation ratio is used to measure the degree of localization."
1494.0,2022.0,10,63,2,Critical Coupling for Two-dimensional $φ^4$ Theory in Discretized Light-Cone Quantization,arXiv:2109.13372,"We solve for the critical coupling in the symmetric phase of two-dimensional $φ^4$ field theory using Discretized Light-Cone Quantization. We adopt periodic boundary conditions, neglect the zero mode, and obtain a critical coupling consistent with the critical coupling reported using conformal truncation in light-front quantization. We find a 17% dfference from the critical coupling reported with light-front quantization in a symmetric polynomial basis."
231.0,2018.0,7,80,10,Gravitational radiation from a bulk flow model,arXiv:1712.06869,"We perform simulations in a simple model that aims to mimic the hydrodynamic evolution of a relativistic fluid during a cosmological first-order phase transitions. The observable we are concerned with is hereby the spectrum of gravitational radiation produced by colliding fluid shells. We present simple parameterizations of our results as functions of the wall velocity, the duration of the phase transition and the latent heat. We also improve on previous results in the envelope approximation and compare with hydrodynamic simulations."
493.0,2019.0,9,93,2,Holographic Entropy Cone with Time Dependence in Two Dimensions,arXiv:1905.03787,"In holographic duality, if a boundary state has a geometric description that realizes the Ryu-Takayanagi proposal then its entanglement entropies must obey certain inequalities that together define the so-called holographic entropy cone. A large family of such inequalities have been proven under the assumption that the bulk geometry is static, using a method involving contraction maps. By using kinematic space techniques, we show that in two boundary (three bulk) dimensions, all entropy inequalities that can be proven in the static case by contraction maps must also hold in holographic states with time dependence."
1572.0,2022.0,13,87,7,The diffraction volume for square-shaped samples in X-ray diffraction with high spatial resolution,arXiv:2204.10720,"X-ray diffraction with high spatial resolution is a prerequisite for the characterization of (poly)-crystalline materials on micro- or nanoscopic scales. This can be achieved by utilizing a focused X-ray beam and scanning of the sample. However, due to the penetration of the X-rays into the material, the exact location of diffraction within the sample is ambiguous. Here, we utilize numerical simulations to compute the spatially resolved diffraction volume in order to investigate these ambiguities. We demonstrate that partial depth sensitivity can be achieved by rotating the sample."
638.0,2019.0,6,57,2,On Finite-Size D-Branes in Superstring Theory,arXiv:1902.10955,"We test exact marginality of the deformation describing the blow-up of a zero-size D(-1) brane bound to a background of D3-branes by analyzing the equations of motion of superstring field theory to third order in the size. In the process we review the derivation of the instanton profile from string theory, extending it to include $α'$- corrections."
1444.0,2021.0,6,81,0,Portfolio Optimization with Digitized-Counterdiabatic Quantum Algorithms,arXiv:2112.08347,"We consider digitized-counterdiabatic quantum computing as an advanced paradigm to approach quantum advantage for industrial applications in the NISQ era. We apply this concept to investigate a discrete mean-variance portfolio optimization problem, showing its usefulness in a key finance application. Our analysis shows a drastic improvement in the success probabilities of the resulting digital quantum algorithm when approximate counterdiabatic techniques are introduced. Along these lines, we discuss the enhanced performance of our methods over variational quantum algorithms like QAOA and DC-QAOA."
512.0,2019.0,12,66,0,"Coherent and squeezed states: introductory review of basic notions, properties and generalizations",arXiv:1812.07523,"A short review of the main properties of coherent and squeezed states is given in introductory form. The efforts are addressed to clarify concepts and notions, including some passages of the history of science, with the aim of facilitating the subject for nonspecialists. In this sense, the present work is intended to be complementary to other papers of the same nature and subject in current circulation."
471.0,2019.0,8,75,4,Topology driven g-factor tuning in type-II quantum dots,arXiv:1710.08828,We investigate how the voltage control of the exciton lateral dipole moment induces a transition from singly to doubly connected topology in type II InAs/GaAsSb quantum dots. The latter causes visible Aharonov-Bohm oscillations and a change of the exciton g-factor which are modulated by the applied bias. The results are explained in the frame of realistic $\mathbf{k}\cdot\mathbf{p}$ and effective Hamiltonian models and could open a venue for new spin quantum memories beyond the InAs/GaAs realm.
486.0,2019.0,9,88,13,Method for real-time measurement of the nonlinear refractive index,arXiv:1905.00942,"In this work, we propose a novel method for continuous real-time measurement of the dynamics of the nonlinear refractive index n2. This is particularly important for characterizing phenomena or materials (such as biological tissues, gases and other compounds) whose nonlinear behavior or structure varies rapidly with time. The proposed method ingeniously employs two powerful tools: the spectral broadening induced by self-phase modulation and the real-time spectral analysis using the dispersive Fourier transformation. The feasibility of the technique is experimentally demonstrated, achieving high-speed measurements at rates of several MHz."
857.0,2020.0,7,98,2,Quantum corrections to a finite temperature BIon,arXiv:1905.03624,"In this paper, we will analyze a finite temperature BIon, which is a finite temperature brane-anti-brane wormhole configuration. We will analyze the quantum fluctuations to this BIon solution using the Euclidean quantum gravity. It will be observed that these quantum fluctuations produce logarithmic corrections to the entropy of this finite temperature BIon solution. These corrections to the entropy also correct the internal energy and the specific heat for this finite temperature BIon. We will also analyze the critical points for this finite temperature BIonic system, and analyze the effects of quantum corrections on the stability of this system."
