x1,x2,operation_x1,operation_x2,operation_between,latex_expression
3.9,7.4,sqrt,cube,div,\frac{\sqrt{3.9}}{(7.4)^3}
1.3,8.1,sqrt,exp,add,\sqrt{1.3} + \exp(8.1)
2.9,8.7,none,tan,sub,2.9 - \tan(8.7)
5.0,7.6,sqrt,cos,add,\sqrt{5.0} + \cos(7.6)
3.1,6.5,sqrt,cos,sub,\sqrt{3.1} - \cos(6.5)
2.7,7.8,log,sqrt,div,\frac{\log(2.7)}{\sqrt{7.8}}
2.6,6.5,none,sin,mul,2.6 \times \sin(6.5)
2.4,5.1,tan,cos,sub,\tan(2.4) - \cos(5.1)
4.0,7.0,sqrt,none,sub,\sqrt{4.0} - 7.0
5.4,7.1,square,sqrt,sub,(5.4)^2 - \sqrt{7.1}
3.0,7.6,none,cube,add,3.0 + (7.6)^3
1.1,7.4,sqrt,sqrt,div,\frac{\sqrt{1.1}}{\sqrt{7.4}}
1.0,8.4,none,exp,mul,1.0 \times \exp(8.4)
3.0,9.1,square,log,add,(3.0)^2 + \log(9.1)
0.7,4.1,sqrt,none,add,\sqrt{0.7} + 4.1
1.0,5.5,log,exp,add,\log(1.0) + \exp(5.5)
3.6,7.9,exp,sqrt,sub,\exp(3.6) - \sqrt{7.9}
4.0,6.8,square,none,div,\frac{(4.0)^2}{6.8}
4.7,5.3,square,tan,mul,(4.7)^2 \times \tan(5.3)
4.3,6.4,exp,sqrt,mul,\exp(4.3) \times \sqrt{6.4}
5.4,4.5,cos,sqrt,add,\cos(5.4) + \sqrt{4.5}
4.1,8.6,sin,none,add,\sin(4.1) + 8.6
5.4,8.5,square,none,add,(5.4)^2 + 8.5
1.9,4.4,sqrt,sqrt,add,\sqrt{1.9} + \sqrt{4.4}
0.7,9.6,tan,none,div,\frac{\tan(0.7)}{9.6}
2.1,5.6,tan,sin,div,\frac{\tan(2.1)}{\sin(5.6)}
2.2,7.3,square,none,sub,(2.2)^2 - 7.3
2.7,9.7,square,none,add,(2.7)^2 + 9.7
0.3,9.3,none,cos,mul,0.3 \times \cos(9.3)
0.6,3.0,cube,none,div,\frac{(0.6)^3}{3.0}
2.3,8.4,log,cos,mul,\log(2.3) \times \cos(8.4)
5.0,4.2,tan,sqrt,mul,\tan(5.0) \times \sqrt{4.2}
2.3,8.2,cos,cos,sub,\cos(2.3) - \cos(8.2)
3.9,5.8,log,cube,div,\frac{\log(3.9)}{(5.8)^3}
2.5,6.6,sin,sin,div,\frac{\sin(2.5)}{\sin(6.6)}
3.4,5.3,cos,none,sub,\cos(3.4) - 5.3
4.7,8.0,log,none,mul,\log(4.7) \times 8.0
2.4,8.7,log,sin,mul,\log(2.4) \times \sin(8.7)
2.1,7.6,log,log,sub,\log(2.1) - \log(7.6)
0.3,7.3,square,none,sub,(0.3)^2 - 7.3
2.2,7.6,tan,cos,mul,\tan(2.2) \times \cos(7.6)
1.0,8.0,cube,sin,div,\frac{(1.0)^3}{\sin(8.0)}
2.2,5.8,cube,none,mul,(2.2)^3 \times 5.8
5.2,8.9,none,exp,add,5.2 + \exp(8.9)
2.5,9.3,log,cos,add,\log(2.5) + \cos(9.3)
4.2,6.2,sin,sqrt,mul,\sin(4.2) \times \sqrt{6.2}
5.6,5.8,exp,log,add,\exp(5.6) + \log(5.8)
4.5,9.5,cos,sin,add,\cos(4.5) + \sin(9.5)
3.6,5.7,exp,sin,add,\exp(3.6) + \sin(5.7)
1.9,4.0,none,sqrt,mul,1.9 \times \sqrt{4.0}
2.2,9.2,sqrt,log,div,\frac{\sqrt{2.2}}{\log(9.2)}
5.2,9.3,none,log,add,5.2 + \log(9.3)
0.7,6.3,none,sin,sub,0.7 - \sin(6.3)
2.8,6.6,cos,cube,sub,\cos(2.8) - (6.6)^3
4.0,7.2,square,sin,sub,(4.0)^2 - \sin(7.2)
4.4,5.6,exp,exp,mul,\exp(4.4) \times \exp(5.6)
1.6,6.0,none,none,mul,1.6 \times 6.0
3.4,3.0,none,none,sub,3.4 - 3.0
3.1,8.9,cos,sqrt,sub,\cos(3.1) - \sqrt{8.9}
2.0,9.5,sin,sqrt,add,\sin(2.0) + \sqrt{9.5}
3.9,6.8,tan,sin,sub,\tan(3.9) - \sin(6.8)
1.1,6.5,none,none,add,1.1 + 6.5
5.9,5.7,cube,none,add,(5.9)^3 + 5.7
3.8,8.2,cube,sin,sub,(3.8)^3 - \sin(8.2)
0.5,5.3,log,none,add,\log(0.5) + 5.3
1.0,5.1,none,cube,mul,1.0 \times (5.1)^3
3.3,7.2,square,cos,div,\frac{(3.3)^2}{\cos(7.2)}
0.3,8.2,log,sin,add,\log(0.3) + \sin(8.2)
3.2,8.2,cos,none,mul,\cos(3.2) \times 8.2
3.4,3.9,exp,sin,sub,\exp(3.4) - \sin(3.9)
5.8,9.6,log,square,add,\log(5.8) + (9.6)^2
4.6,9.1,none,none,add,4.6 + 9.1
1.7,6.1,cos,cube,mul,\cos(1.7) \times (6.1)^3
2.4,4.3,log,sin,add,\log(2.4) + \sin(4.3)
3.4,5.3,cos,none,mul,\cos(3.4) \times 5.3
0.8,5.5,exp,none,sub,\exp(0.8) - 5.5
4.0,5.8,sqrt,none,sub,\sqrt{4.0} - 5.8
2.1,5.8,cos,exp,mul,\cos(2.1) \times \exp(5.8)
2.4,4.3,none,cos,add,2.4 + \cos(4.3)
1.0,8.1,tan,none,mul,\tan(1.0) \times 8.1
4.3,8.8,sqrt,cos,div,\frac{\sqrt{4.3}}{\cos(8.8)}
5.5,8.5,sin,sin,add,\sin(5.5) + \sin(8.5)
1.7,7.2,sqrt,none,div,\frac{\sqrt{1.7}}{7.2}
2.9,6.0,sin,square,add,\sin(2.9) + (6.0)^2
1.0,7.0,cos,sin,add,\cos(1.0) + \sin(7.0)
5.2,4.8,log,sqrt,add,\log(5.2) + \sqrt{4.8}
4.9,4.5,cos,cos,mul,\cos(4.9) \times \cos(4.5)
1.3,5.1,none,cos,add,1.3 + \cos(5.1)
1.4,8.3,sin,sqrt,div,\frac{\sin(1.4)}{\sqrt{8.3}}
3.0,5.1,log,sqrt,mul,\log(3.0) \times \sqrt{5.1}
3.1,7.7,cos,sin,mul,\cos(3.1) \times \sin(7.7)
3.5,5.1,log,sin,sub,\log(3.5) - \sin(5.1)
5.8,6.5,none,none,add,5.8 + 6.5
2.6,4.4,sin,none,add,\sin(2.6) + 4.4
2.8,6.8,log,square,add,\log(2.8) + (6.8)^2
4.5,6.5,none,sin,div,\frac{4.5}{\sin(6.5)}
3.7,7.1,square,none,add,(3.7)^2 + 7.1
4.4,5.5,none,sqrt,div,\frac{4.4}{\sqrt{5.5}}
3.0,9.0,sin,cube,mul,\sin(3.0) \times (9.0)^3
1.6,6.4,sqrt,exp,mul,\sqrt{1.6} \times \exp(6.4)
1.6,5.8,sqrt,none,mul,\sqrt{1.6} \times 5.8
1.4,5.6,square,cube,mul,(1.4)^2 \times (5.6)^3
1.9,8.3,none,cos,sub,1.9 - \cos(8.3)
4.3,7.9,none,cos,mul,4.3 \times \cos(7.9)
3.2,7.1,square,tan,mul,(3.2)^2 \times \tan(7.1)
1.0,4.6,sin,none,add,\sin(1.0) + 4.6
0.1,7.7,log,sqrt,mul,\log(0.1) \times \sqrt{7.7}
0.2,3.6,none,exp,sub,0.2 - \exp(3.6)
1.7,9.7,sqrt,tan,div,\frac{\sqrt{1.7}}{\tan(9.7)}
3.5,8.9,log,tan,sub,\log(3.5) - \tan(8.9)
3.3,6.7,sqrt,sqrt,div,\frac{\sqrt{3.3}}{\sqrt{6.7}}
4.6,4.8,none,cos,div,\frac{4.6}{\cos(4.8)}
1.8,6.1,log,exp,add,\log(1.8) + \exp(6.1)
4.0,7.2,exp,tan,mul,\exp(4.0) \times \tan(7.2)
3.7,7.9,sqrt,sin,mul,\sqrt{3.7} \times \sin(7.9)
0.2,7.4,sqrt,sqrt,add,\sqrt{0.2} + \sqrt{7.4}
5.3,4.2,tan,square,add,\tan(5.3) + (4.2)^2
5.0,6.5,tan,cos,add,\tan(5.0) + \cos(6.5)
5.9,7.0,sqrt,square,add,\sqrt{5.9} + (7.0)^2
1.8,4.0,sqrt,log,sub,\sqrt{1.8} - \log(4.0)
4.7,3.9,sqrt,none,add,\sqrt{4.7} + 3.9
1.4,8.3,log,none,div,\frac{\log(1.4)}{8.3}
1.2,7.7,cube,none,div,\frac{(1.2)^3}{7.7}
4.2,6.5,none,square,sub,4.2 - (6.5)^2
3.8,8.4,cube,none,div,\frac{(3.8)^3}{8.4}
0.4,7.9,sin,log,sub,\sin(0.4) - \log(7.9)
4.0,4.0,sqrt,sqrt,add,\sqrt{4.0} + \sqrt{4.0}
5.0,5.5,cos,cube,add,\cos(5.0) + (5.5)^3
4.2,4.5,square,cos,div,\frac{(4.2)^2}{\cos(4.5)}
3.1,6.6,square,sin,mul,(3.1)^2 \times \sin(6.6)
4.9,9.5,log,none,mul,\log(4.9) \times 9.5
1.0,4.6,sqrt,none,add,\sqrt{1.0} + 4.6
0.3,4.0,cos,none,add,\cos(0.3) + 4.0
3.7,6.5,square,cos,add,(3.7)^2 + \cos(6.5)
4.5,8.5,log,cube,mul,\log(4.5) \times (8.5)^3
2.3,3.3,cos,sin,div,\frac{\cos(2.3)}{\sin(3.3)}
3.0,4.8,exp,log,add,\exp(3.0) + \log(4.8)
4.2,8.7,sin,log,add,\sin(4.2) + \log(8.7)
2.6,8.2,exp,sqrt,sub,\exp(2.6) - \sqrt{8.2}
3.4,4.6,exp,log,add,\exp(3.4) + \log(4.6)
1.8,4.5,cos,square,mul,\cos(1.8) \times (4.5)^2
2.1,7.4,log,sin,sub,\log(2.1) - \sin(7.4)
5.5,5.7,log,exp,add,\log(5.5) + \exp(5.7)
3.1,7.5,exp,sin,mul,\exp(3.1) \times \sin(7.5)
3.1,6.5,cos,tan,mul,\cos(3.1) \times \tan(6.5)
2.5,9.5,cos,log,mul,\cos(2.5) \times \log(9.5)
3.5,7.6,none,sin,add,3.5 + \sin(7.6)
5.0,5.6,log,cos,add,\log(5.0) + \cos(5.6)
3.3,9.5,tan,none,add,\tan(3.3) + 9.5
4.0,8.5,none,sqrt,div,\frac{4.0}{\sqrt{8.5}}
5.6,7.2,cube,sqrt,add,(5.6)^3 + \sqrt{7.2}
1.6,9.5,sqrt,sin,sub,\sqrt{1.6} - \sin(9.5)
1.8,3.5,log,sin,mul,\log(1.8) \times \sin(3.5)
3.8,4.0,sqrt,sqrt,add,\sqrt{3.8} + \sqrt{4.0}
1.6,6.5,sqrt,cos,add,\sqrt{1.6} + \cos(6.5)
1.8,4.1,cos,cube,add,\cos(1.8) + (4.1)^3
1.9,6.6,cube,cube,sub,(1.9)^3 - (6.6)^3
3.4,3.6,none,none,mul,3.4 \times 3.6
3.1,3.9,tan,cube,sub,\tan(3.1) - (3.9)^3
3.6,4.5,exp,cos,add,\exp(3.6) + \cos(4.5)
0.4,6.3,none,sqrt,add,0.4 + \sqrt{6.3}
4.5,6.1,exp,cube,add,\exp(4.5) + (6.1)^3
1.5,7.6,sqrt,square,sub,\sqrt{1.5} - (7.6)^2
5.1,6.5,square,cube,mul,(5.1)^2 \times (6.5)^3
3.7,8.8,log,sqrt,add,\log(3.7) + \sqrt{8.8}
5.3,9.8,cos,log,sub,\cos(5.3) - \log(9.8)
3.5,3.4,log,sqrt,add,\log(3.5) + \sqrt{3.4}
2.2,3.3,log,none,add,\log(2.2) + 3.3
2.6,6.5,sqrt,none,add,\sqrt{2.6} + 6.5
1.8,8.0,log,cos,div,\frac{\log(1.8)}{\cos(8.0)}
2.8,4.5,sqrt,none,div,\frac{\sqrt{2.8}}{4.5}
2.3,8.5,exp,none,mul,\exp(2.3) \times 8.5
4.0,5.5,log,sin,sub,\log(4.0) - \sin(5.5)
3.9,9.9,sin,sin,add,\sin(3.9) + \sin(9.9)
3.6,7.0,log,sqrt,mul,\log(3.6) \times \sqrt{7.0}
0.6,6.5,cos,sin,sub,\cos(0.6) - \sin(6.5)
3.2,4.9,sin,sqrt,sub,\sin(3.2) - \sqrt{4.9}
0.8,6.5,none,square,add,0.8 + (6.5)^2
4.7,5.0,tan,cos,add,\tan(4.7) + \cos(5.0)
2.3,3.9,sin,none,sub,\sin(2.3) - 3.9
0.6,5.5,log,none,mul,\log(0.6) \times 5.5
3.2,5.9,log,none,mul,\log(3.2) \times 5.9
1.1,6.0,square,cos,sub,(1.1)^2 - \cos(6.0)
0.9,5.1,tan,log,mul,\tan(0.9) \times \log(5.1)
2.3,9.1,square,sin,mul,(2.3)^2 \times \sin(9.1)
4.1,5.9,log,sin,sub,\log(4.1) - \sin(5.9)
3.0,5.7,none,none,sub,3.0 - 5.7
3.3,4.3,sin,cos,sub,\sin(3.3) - \cos(4.3)
2.0,4.0,sin,cube,add,\sin(2.0) + (4.0)^3
4.3,8.5,sqrt,exp,add,\sqrt{4.3} + \exp(8.5)
4.7,5.8,log,cos,sub,\log(4.7) - \cos(5.8)
1.6,4.1,square,none,mul,(1.6)^2 \times 4.1
1.9,4.0,exp,square,add,\exp(1.9) + (4.0)^2
5.6,8.1,square,cos,mul,(5.6)^2 \times \cos(8.1)
0.6,5.8,log,sqrt,div,\frac{\log(0.6)}{\sqrt{5.8}}
1.6,7.1,exp,log,sub,\exp(1.6) - \log(7.1)
4.0,5.7,sin,sin,add,\sin(4.0) + \sin(5.7)
2.7,8.7,sin,sin,add,\sin(2.7) + \sin(8.7)
2.8,7.5,log,cos,sub,\log(2.8) - \cos(7.5)
