age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
82.0, ?,52921.0, Some-college,10.0, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Male,0.0,0.0,3.0, United-States, <=50K
32.0, Private,177531.0, 10th,6.0, Divorced, Other-service, Unmarried, Black, Female,0.0,0.0,23.0, United-States, <=50K
39.0, Self-emp-not-inc,246900.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K
40.0, Private,222848.0, 10th,6.0, Married-civ-spouse, Other-service, Wife, Black, Female,0.0,0.0,32.0, United-States, <=50K
21.0, Private,256504.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
18.0, Private,221284.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,64.0, United-States, <=50K
66.0, Private,113323.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,20051.0,0.0,40.0, United-States, >50K
41.0, Private,233130.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
25.0, Private,209230.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,6.0, United-States, <=50K
18.0, ?,210652.0, HS-grad,9.0, Never-married, ?, Own-child, White, Male,0.0,0.0,15.0, United-States, <=50K
22.0, Private,203894.0, Some-college,10.0, Never-married, Transport-moving, Not-in-family, White, Female,0.0,0.0,24.0, United-States, <=50K
53.0, Self-emp-not-inc,158284.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,70.0, United-States, <=50K
43.0, Private,111252.0, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,42.0, United-States, <=50K
38.0, Private,95336.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
62.0, State-gov,39630.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Local-gov,186993.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Private,245226.0, HS-grad,9.0, Never-married, Handlers-cleaners, Unmarried, Black, Male,0.0,0.0,40.0, United-States, <=50K
40.0, Self-emp-not-inc,814850.0, 9th,5.0, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,20.0, United-States, <=50K
17.0, ?,262196.0, 10th,6.0, Never-married, ?, Own-child, White, Male,0.0,0.0,8.0, United-States, <=50K
34.0, Local-gov,429897.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, Mexico, >50K
33.0, Private,226296.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,1672.0,50.0, United-States, <=50K
34.0, Private,32528.0, Assoc-voc,11.0, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0.0,974.0,40.0, United-States, <=50K
33.0, Private,204494.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,56.0, United-States, >50K
30.0, Self-emp-not-inc,523095.0, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K
34.0, Private,188736.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Female,0.0,0.0,20.0, Columbia, <=50K
44.0, Private,275094.0, 1st-4th,2.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,10.0, United-States, <=50K
30.0, Private,156015.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
34.0, Private,112139.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
27.0, Private,293828.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Black, Female,0.0,0.0,40.0, Jamaica, <=50K
38.0, Self-emp-inc,199346.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,45.0, United-States, <=50K
43.0, Private,341204.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
37.0, State-gov,373699.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,60.0, United-States, >50K
36.0, Private,36423.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K
37.0, Private,103925.0, HS-grad,9.0, Widowed, Adm-clerical, Unmarried, White, Female,0.0,0.0,68.0, United-States, <=50K
24.0, Self-emp-not-inc,375313.0, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States, <=50K
46.0, Local-gov,149551.0, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,5013.0,0.0,50.0, United-States, <=50K
30.0, Private,171889.0, Prof-school,15.0, Never-married, Tech-support, Own-child, White, Female,0.0,0.0,24.0, United-States, <=50K
32.0, ?,377017.0, Assoc-acdm,12.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
45.0, Private,277434.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Male,0.0,0.0,50.0, United-States, <=50K
38.0, Private,338320.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, Canada, <=50K
23.0, State-gov,33551.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,38.0, United-States, <=50K
30.0, Private,72887.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,3411.0,0.0,40.0, United-States, <=50K
30.0, Private,275632.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
42.0, Private,285787.0, Assoc-acdm,12.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Self-emp-not-inc,241431.0, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K
22.0, Private,464103.0, 1st-4th,2.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Guatemala, <=50K
35.0, Federal-gov,182863.0, Bachelors,13.0, Separated, Tech-support, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
33.0, Private,219034.0, 11th,7.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
54.0, Local-gov,204567.0, HS-grad,9.0, Widowed, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
27.0, ?,90270.0, Assoc-acdm,12.0, Married-civ-spouse, ?, Own-child, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, <=50K
27.0, Private,176683.0, HS-grad,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
43.0, Private,161240.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K
41.0, Private,105616.0, Some-college,10.0, Widowed, Adm-clerical, Unmarried, Black, Female,0.0,0.0,48.0, United-States, <=50K
52.0, Private,127315.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
37.0, Private,203070.0, Some-college,10.0, Separated, Adm-clerical, Own-child, White, Male,0.0,0.0,62.0, United-States, <=50K
26.0, Self-emp-not-inc,253899.0, Bachelors,13.0, Divorced, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
38.0, Private,194140.0, Some-college,10.0, Separated, Machine-op-inspct, Unmarried, Black, Male,0.0,0.0,50.0, United-States, <=50K
48.0, Private,95661.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,43.0, United-States, <=50K
29.0, Private,337953.0, Bachelors,13.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,36.0, United-States, <=50K
26.0, Private,276967.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
56.0, Self-emp-inc,267763.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, ?, <=50K
43.0, Federal-gov,56063.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K
27.0, Private,255582.0, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
52.0, Private,192666.0, 12th,8.0, Separated, Machine-op-inspct, Unmarried, Black, Male,0.0,0.0,40.0, United-States, <=50K
18.0, Self-emp-not-inc,132986.0, HS-grad,9.0, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
46.0, Local-gov,121124.0, Bachelors,13.0, Married-civ-spouse, Protective-serv, Husband, White, Male,15024.0,0.0,40.0, United-States, >50K
42.0, Private,33895.0, Bachelors,13.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
31.0, Private,73514.0, HS-grad,9.0, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States, <=50K
37.0, Local-gov,184474.0, HS-grad,9.0, Divorced, Other-service, Unmarried, White, Female,2977.0,0.0,55.0, United-States, <=50K
20.0, Private,117109.0, Some-college,10.0, Never-married, Adm-clerical, Other-relative, Black, Female,0.0,0.0,24.0, United-States, <=50K
26.0, Self-emp-not-inc,33016.0, Assoc-voc,11.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,55.0, United-States, <=50K
23.0, Self-emp-inc,284651.0, Bachelors,13.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,43.0, United-States, <=50K
34.0, Private,124827.0, 10th,6.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,80.0, United-States, <=50K
17.0, Private,194517.0, 11th,7.0, Never-married, Farming-fishing, Own-child, White, Female,0.0,0.0,18.0, United-States, <=50K
38.0, Private,182570.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,38.0, United-States, <=50K
40.0, Private,207578.0, Assoc-acdm,12.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,1977.0,60.0, United-States, >50K
31.0, Private,381153.0, Some-college,10.0, Never-married, Exec-managerial, Unmarried, White, Male,0.0,0.0,60.0, United-States, <=50K
59.0, Self-emp-not-inc,98418.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,20.0, United-States, <=50K
29.0, Private,132675.0, 11th,7.0, Separated, Other-service, Own-child, Black, Female,0.0,0.0,40.0, United-States, <=50K
29.0, Private,199411.0, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
35.0, Private,191103.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
19.0, Private,544091.0, HS-grad,9.0, Married-AF-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,25.0, United-States, <=50K
40.0, Private,300773.0, Assoc-acdm,12.0, Divorced, Tech-support, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
35.0, Private,953588.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States, >50K
22.0, Private,162343.0, Some-college,10.0, Never-married, Adm-clerical, Other-relative, Black, Male,0.0,0.0,22.0, United-States, <=50K
62.0, ?,181014.0, Bachelors,13.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
31.0, Private,147284.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,1977.0,99.0, United-States, >50K
49.0, ?,189885.0, HS-grad,9.0, Widowed, ?, Not-in-family, Black, Female,0.0,0.0,40.0, United-States, <=50K
43.0, Private,71269.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
47.0, Self-emp-not-inc,26145.0, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
27.0, Private,234664.0, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
28.0, Self-emp-inc,113870.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States, >50K
45.0, Private,178922.0, 9th,5.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,15.0, United-States, <=50K
33.0, Local-gov,111817.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
17.0, Private,196252.0, 10th,6.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,16.0, United-States, <=50K
57.0, Private,24384.0, 7th-8th,4.0, Widowed, Other-service, Not-in-family, White, Female,0.0,0.0,10.0, United-States, <=50K
44.0, Private,344060.0, Bachelors,13.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,40.0, United-States, >50K
46.0, Local-gov,60751.0, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
32.0, Local-gov,56658.0, HS-grad,9.0, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, <=50K
47.0, Private,162494.0, Some-college,10.0, Divorced, Sales, Unmarried, White, Female,0.0,0.0,45.0, United-States, >50K
31.0, Private,87891.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
25.0, ?,230856.0, HS-grad,9.0, Never-married, ?, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
47.0, Federal-gov,746660.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,1887.0,40.0, United-States, >50K
19.0, Private,185695.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K
69.0, Self-emp-not-inc,92472.0, 10th,6.0, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,3273.0,0.0,45.0, United-States, <=50K
52.0, Private,146015.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
21.0, Private,186648.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,20.0, United-States, <=50K
24.0, Private,311311.0, Bachelors,13.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,65.0, United-States, <=50K
52.0, Federal-gov,168539.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
27.0, Local-gov,225291.0, Assoc-acdm,12.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
25.0, Private,306908.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
45.0, Local-gov,172111.0, Bachelors,13.0, Divorced, Exec-managerial, Unmarried, Black, Female,0.0,0.0,60.0, United-States, <=50K
30.0, ?,331237.0, HS-grad,9.0, Separated, ?, Own-child, Black, Female,0.0,0.0,20.0, United-States, <=50K
40.0, Private,315321.0, HS-grad,9.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,625.0,52.0, United-States, <=50K
51.0, Self-emp-not-inc,170086.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
31.0, Private,651396.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0.0,1594.0,30.0, United-States, <=50K
18.0, Private,280603.0, 11th,7.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,30.0, United-States, <=50K
29.0, Private,57889.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
71.0, ?,161027.0, Masters,14.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,8.0, United-States, >50K
50.0, ?,204577.0, Bachelors,13.0, Married-civ-spouse, ?, Husband, Black, Male,0.0,1902.0,60.0, United-States, >50K
35.0, Private,44780.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688.0,0.0,20.0, United-States, >50K
51.0, Self-emp-not-inc,199005.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States, >50K
27.0, Private,305647.0, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
25.0, Private,66622.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,25.0, United-States, <=50K
21.0, Private,197387.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,20.0, United-States, <=50K
27.0, Local-gov,134813.0, Masters,14.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,52.0, United-States, <=50K
42.0, Self-emp-not-inc,344920.0, Some-college,10.0, Married-civ-spouse, Farming-fishing, Wife, White, Female,0.0,0.0,50.0, United-States, <=50K
34.0, Private,314646.0, 9th,5.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
31.0, Private,197058.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,2597.0,0.0,45.0, United-States, <=50K
65.0, Self-emp-inc,103824.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
44.0, Private,115411.0, Some-college,10.0, Divorced, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Self-emp-not-inc,321313.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
42.0, Self-emp-not-inc,269733.0, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,99999.0,0.0,80.0, United-States, >50K
48.0, Private,249935.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,44.0, United-States, <=50K
25.0, Private,252752.0, Some-college,10.0, Never-married, Transport-moving, Not-in-family, White, Female,0.0,0.0,45.0, United-States, <=50K
32.0, Self-emp-not-inc,29254.0, Some-college,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
47.0, Self-emp-not-inc,355978.0, Doctorate,16.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,2002.0,45.0, United-States, <=50K
55.0, Private,110871.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,281768.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, Black, Female,0.0,0.0,40.0, United-States, <=50K
29.0, Private,177413.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
41.0, Private,58124.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
69.0, Self-emp-not-inc,204645.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,9386.0,0.0,72.0, United-States, >50K
46.0, Private,266337.0, Assoc-voc,11.0, Divorced, Craft-repair, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, ?,387063.0, 10th,6.0, Never-married, ?, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K
23.0, Private,252153.0, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,28.0, United-States, <=50K
47.0, Private,115358.0, HS-grad,9.0, Divorced, Exec-managerial, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
28.0, Private,405793.0, Assoc-acdm,12.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
44.0, Private,324311.0, 5th-6th,3.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,32.0, Mexico, <=50K
46.0, Private,216164.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
47.0, Private,363418.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, England, >50K
52.0, Private,117674.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,55.0, United-States, >50K
42.0, Private,152676.0, 7th-8th,4.0, Divorced, Craft-repair, Unmarried, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
30.0, Private,131699.0, HS-grad,9.0, Divorced, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
22.0, Private,99697.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
21.0, Private,240063.0, HS-grad,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,48.0, United-States, <=50K
42.0, Federal-gov,236503.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
28.0, Private,584790.0, Assoc-voc,11.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
21.0, ?,207988.0, HS-grad,9.0, Married-civ-spouse, ?, Other-relative, White, Female,0.0,0.0,35.0, United-States, <=50K
43.0, Private,101950.0, Masters,14.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,45.0, United-States, <=50K
43.0, Private,114580.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
22.0, Private,129172.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,16.0, United-States, <=50K
50.0, Private,57852.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,55.0, United-States, >50K
62.0, Private,226733.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
32.0, Private,263908.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
25.0, Private,321223.0, Some-college,10.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,20.0, United-States, <=50K
53.0, Private,170050.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
20.0, Private,41721.0, Some-college,10.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
23.0, Private,193090.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,3674.0,0.0,40.0, United-States, <=50K
80.0, Private,216073.0, 5th-6th,3.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,32.0, United-States, <=50K
46.0, Private,172695.0, 11th,7.0, Widowed, Other-service, Not-in-family, White, Female,0.0,0.0,27.0, El-Salvador, <=50K
35.0, Private,106967.0, Masters,14.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
40.0, Private,388725.0, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
42.0, Self-emp-not-inc,206066.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,65.0, United-States, <=50K
