price,review_time,rating,category,verified,brand,title,description,review_text,summary
6.86,2773.0,5.0,Literature & Fiction > Contemporary,True,George Orwell,Animal Farm with Connections (HRW Library Study Guides),"Will be shipped from US. Used books may not include companion materials, may have some shelf wear, may contain highlighting/notes, may not include CDs or access codes. 100% money back guarantee.",Very good reading. Points out the reality of war in all its grimness. Must be read to understand the truths about war and control of the human mind.,Must Read!
30.64,2466.0,4.0,Literature & Fiction > Contemporary,True,Visit Amazon's Andy Straka Page,A Witness Above (Frank Palvicek Mysteries),"""Frank Pavlicek is a breath of fresh air in the field of private eye fiction.""",Really enjoyed the book and the suspense.,Four Stars
2.99,2378.0,5.0,History > Americas,False,Visit Amazon's Thomas B. Allen Page,"George Washington, Spymaster: How the Americans Outspied the British and Won the Revolutionary War",Used book,A SCHOOL READ FOR MY GRANDAUGHTER,REQUIRED READING
44.63,1868.0,5.0,Arts & Photography > History & Criticism,False,Visit Amazon's Richard Polsky Page,I Sold Andy Warhol (Too Soon),"<span class=""h1""><strong>A Q&A with Richard Polsky</strong></span> <br />","Everyone interested in art (and the art market) should read this book. Very easy to read and amusing, there are many insights into the functioning of the art world. Surprise - money makes the world go 'round.",Behind the scenes detail
12.43,1920.0,2.0,"Reference > Writing, Research & Publishing Guides",True,Richard Henry Dana Jr.,Two Years Before the Mast: A Personal Narrative of Life at Sea (Penguin Classics),"""Possesses . . . the romantic charm of Robinson Crusoe.""<br>--Ralph Waldo Emerson","I got halfway through, so keep that or it in mind. It was interesting but just didn't hold my attention.",Ok I Guess
7.87,2022.0,5.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Johanna Lindsey Page,Surrender My Love (Haardrad Family),"""A dreamspinner extraordinaire.""-- ""Romantic Times","Very believeable.  Loved it!  Great distraction from everyday problems.  I thoroughly enjoyed it.  Keep it up, Johanna!  I'll stay tuned for your next read.",Great Lindsey book
7.99,2272.0,5.0,Romance > Contemporary,True,Visit Amazon's Rachel Gibson Page,See Jane Score,"Setting: Seattle, Washington<br /> Sensuality: 8",I have read all of Ms. Gibsons books and her Chinook series is my favorite!  I have read them over and over and even downloaded them to my kindle so I'm never without it.,Rachel Gibson never fails!
15.95,2028.0,4.0,Biographies & Memoirs > Memoirs,True,Lida E. Quillen,How I Wrote My First Book: The Story Behind the Story,"Lida E. Quillen is an author, editor, publicist and web master. She is the founder and owner of Twilight Times Books, Paladin Timeless Books, and Twilight Trade Books as well as Twilight Times ezine.",Can learn a lot about writing process. And get to know writers a little but better and might be able to find good book.,Learn a lot
10.97,2705.0,4.0,Business & Money > Personal Finance,True,Visit Amazon's Emily Guy Birken Page,The 5 Years Before You Retire: Retirement Planning When You Need It the Most,"2015 <i>Washington Post</i> Singletary column gift guide pick!<BR><BR> ""Lays out a road map that helps boomers plan for retirement."" --<i>Newsday</i><BR><BR>""Fantastic and incredibly comprehensive."" --Rob Berger, Doughroller",Very good information,Four Stars
20.95,1808.0,5.0,"Health, Fitness & Dieting > Mental Health",True,Visit Amazon's Scott E. Spradlin Page,Don't Let Your Emotions Run Your Life: How Dialectical Behavior Therapy Can Put You in Control (New Harbinger Self-Help Workbook),<div></div>,I received my product in a timely time frame. IT was nice conducting business with you the service was great,THANKS
19.0,2648.0,5.0,Biographies & Memoirs > Arts & Literature,True,Visit Amazon's Mary Karr Page,Lit: A Memoir,<b>Product Description</b><br/>,Fabulously written.  True gutter to glory story - the glory of a life redeemed!,Fabulously written. True gutter to glory story - the ...
9.4,1602.0,4.0,"Cookbooks, Food & Wine > Cooking by Ingredient",True,Visit Amazon's Donna Rathmell German Page,Pasta Machine Cookbook (A Nitty Gritty Cookbook),"This book identifies the best current wine bargains on supermarket and store shelves. Drink better wine, cheaper!",Bought it for my husband. Works pretty well. No complaints.  Good deal for the money.  Would recommend for a starter piece.,No complaints
17.72,2729.0,5.0,"Children's Books > Activities, Crafts & Games",True,Visit Amazon's Carla Hegeman Crim Page,"Pattern Making for Kids' Clothes: All You Need to Know About Designing, Adapting, and Customizing Sewing Patterns for Children's Clothing","East coast-based seamstress and pattern maker Carla Hegeman Crim is the author behind the popular blog ""The Sewing Seamstress"", where she markets and sells her own line of kid's clothing patterns.",Looks to be just what I was looking for.,Five Stars
22.1,2445.0,4.0,"Cookbooks, Food & Wine > Baking",True,Visit Amazon's Alice Medrich Page,Sinfully Easy Delicious Desserts,<DIV>“Effortless sophisticated desserts. . . . perfect for short-staffed dinner parties and midweek dessert cravings.” </DIV>,"Great ideas, love this book.",Four Stars
8.49,620.0,1.0,Literature & Fiction > Contemporary,True,Visit Amazon's Elizabeth Strout Page,Olive Kitteridge,"Will be shipped from US. Used books may not include companion materials, may have some shelf wear, may contain highlighting/notes, may not include CDs or access codes. 100% money back guarantee.",This was a boring book about a boring woman.  It was a waste of good reading time.,Olive Ketteridge
4.76,1881.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Dean Koontz Page,Odd Hours,New,"I'm pretty sure you have to be a fan of Odd Thomas to enjoy these books. I recommend reading the first in the series to see if you do. Once you get hooked, you'll love them. I'm waiting for the next one, due out in May.",Great!
12.52,2060.0,4.0,Christian Books & Bibles > Literature & Fiction,True,Visit Amazon's Cindy Woodsmall Page,For Every Season: Book Three in the Amish Vines and Orchards Series,<b><i>ECPA</i>bestseller</b>,Thoroughly enjoying  this series . Could not stop reading until l finished the book. Looking forward to the next one. Would like to know how Jacobs life turns out.,Amish vines book three
5.98,1970.0,5.0,Science Fiction & Fantasy > Fantasy,True,Visit Amazon's J. R. R. Tolkien Page,Hobbit,"The enchanting prelude to ""The Lord of the Rings""",My 13 yr. old grandson was very happy with this book.  He likes to know the background of things and this helped him to understand this story.,Grandson happy
2.89,2681.0,4.0,Teen & Young Adult > Literature & Fiction,True,Visit Amazon's Anthony Horowitz Page,Skeleton Key (Alex Rider),What if James Bond had started spying as a teenager? Non-stop action keeps the intrigue boiling. -- <i><I>Kirkus Reviews</I> on <I>Stormbreaker</I></i>,I liked all the action in it and how it left on a happy note but I didn't like how it switched from one story to the next.,Good
7.95,2797.0,5.0,Science Fiction & Fantasy > Fantasy,True,Visit Amazon's Diana Gabaldon Page,Drums of Autumn,Like New!!!,Great book!!!  A must read for the series.  On to the next book!!,A great read!!!
18.36,2456.0,1.0,Books > Religion & Spirituality,True,Visit Amazon's Dainin Katagiri Page,Returning to Silence: Zen Practice in Daily Life (Shambhala Dragon Editions),Offers a basic understanding of Zen Buddhism. Special emphasis on discovering the experience of enlightenment in the midst of everyday life.,Poor quality translation of Katagiri's teachings.  Often incomprhensible gibberish.,One Star
1.99,2214.0,5.0,Religion & Spirituality > Agnosticism,True,Gregory Boyd,Letters from a Skeptic,<DIV>,What a great read.  a story of a father and son and a journey to faith.  read it and be encouraged!,Great read!
23.86,2237.0,5.0,Religion & Spirituality > Religious Studies,True,Visit Amazon's Herman Bavinck Page,Doctrine of God (Students Reformed Theological Library),"Text: English, German (translation)","This text was an auxillary text for my class, not one of the required books.  As such, it gave a different perspective that was very helpful, especially since I am Reformed in my view.",Great Resource for Seminary Students
12.0,2396.0,2.0,Religion & Spirituality > Occult & Paranormal,False,Visit Amazon's Albert Taylor Page,Soul Traveler: A Guide to Out-of-Body Experiences and the Wonders Beyond,"""Taylor's story is told with wit and authority...an adventure on a grand scale, sure to hold the attention of believers and skeptics alike"". -- NAPRA ReView",I boughit as as gift for someone who wanted it. I don't agree at all with the person's belief system.,I boughit as as gift for someone who wanted it ...
27.49,1836.0,5.0,Christian Books & Bibles > Literature & Fiction,True,Visit Amazon's Lorena McCourtney Page,Invisible (Ivy Malone Mystery Series #1),Book and dustjacket brand new/mint condition.,"This was th best book to read, perhaps cause I could relate to characters, as sometimes I feel invisible also.",Invisible
14.78,2281.0,4.0,"Mystery, Thriller & Suspense > Mystery",True,Visit Amazon's Mark Dawson Page,The Black Mile,"Mark Dawson, a London-based lawyer who once DJed at world-famous Hacienda, is also author of The Art of Falling Apart and Subpoena Colada, and lives in Wiltshire.",A psychotic killer on the loose in Blacked Out London as German bombs fall on the city. Intertwined with murderous police corruption at the highest levels.,An excellent police thriller in London at the beginning of WWII.
8.34,2530.0,5.0,Children's Books > Science Fiction & Fantasy,True,Visit Amazon's L. Frank Baum Page,The Wizard of Oz,"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",I really enjoyed this book. Very different from the movie. I actually liked this book better than the movie. Absolutely amazing,Wizard of oz
35.0,1811.0,5.0,Humor & Entertainment > Radio,True,Visit Amazon's J. R. R. Tolkien Page,Hobbit and Lord of the Rings Trilogy - Boxed Set of 4 Books,Box set of JRR Tolkien's incomparable classic,Every six or ten years it just has to be read again. How they are making three movies out of it is a mystery.,Always worth the read.
26.84,1818.0,5.0,History > Asia,True,Visit Amazon's Drew Dix Page,The Rescue of River City,"The action is non-stop,harrowing and all true. ...get ready for a hell of a read! -- <i>Lieutenant General (Ret.) Hank Emerson August 2000</i>","I know Drew Dix personally, he is the real thing and a great guy.  Drew went on to become a bush pilot in Alaska but now lives in New Mexico.",A true American Hero.
10.0,2123.0,5.0,Christian Books & Bibles > Literature & Fiction,False,Visit Amazon's Janet Tronstad Page,A Bride for Dry Creek (Dry Creek Series #3) (Love Inspired #138),PBK,"I love Dry Creek,  makes me want to live there,  but the only way is through these wonderful stories.  Have not been reading them in order,  but doesn't really matter.  Now on to the next one...",Another great story
35.95,2024.0,5.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Megan Smith Page,Trying Not To Love You (Love Series) (Volume 1),"Re-edited, added bonus scene and reformatted on 5/17/15",Super cute! Can't wait to read the sequel. Hunter and CC are so cute together! So excited to see what happens next,Loved it
5.0,2809.0,5.0,Children's Books > Growing Up & Facts of Life,True,Visit Amazon's Suzanne Collins Page,The Hunger Games (Book 1),<b>Praise for <i>The Hunger Games</i></b>,I'm so sad these books are over. And for some reason I never expected her to end up with who she ended up with. I wish there was more to read,So good
12.99,2467.0,5.0,Romance > Paranormal,True,Visit Amazon's Elizabeth Kelly Page,The Recruit: Book One,"Elizabeth Kelly was born and raised in Ontario, Canada. She moved west as a teenager and now lives in Alberta with her husband and her cat, Murray. She spends most of her time in her office writing and pushing Murray off her computer keyboard. She firmly believes that a human can survive solely on sushi and coffee, and only her husbands mad cooking skills stops her from proving that theory.",Satisfied,Five Stars
9.99,1827.0,5.0,"Cookbooks, Food & Wine > Regional & International",True,JoAnna M. Lund,Grandma's Comfort Food Made Healthy (A Healthy Exchanges Cookbook),"Good readable copy. Slight to moderate wear on edges, corners, covers, otherwise item is in good condition. Pages free of marks. Please provide feedback.","This cookbook contains health versions of a lot of those ""comfort foods"" we all miss when we are trying to eat healthier.",Another great cookbook from JoAnna Lund
11.66,2544.0,3.0,"Children's Books > Activities, Crafts & Games",True,Visit Amazon's Alison McNicol Page,My First Sewing Machine: FASHION SCHOOL: Learn To Sew: Kids,"Alison McNicol is an expert in teaching children to sew and has written the<b> Learn To Sew: Kids</b> series of best-selling sewing books for children. Check out the Learn To Sew, My First Sewing Machine and My First Hand Sewing books too!",String is a lot smaller than typical knitting yarn,Smaller
12.92,2398.0,5.0,Teen & Young Adult > Science Fiction & Fantasy,True,Visit Amazon's Kelley Armstrong Page,The Calling (Darkness Rising),“This engaging read is plot-driven and action-packed.” (School Library Journal),"Can't put them down, one book after another, I devour the words. Is she supernatural? Are they enchanted? Awesome again",Another one
9.99,2356.0,5.0,Christian Books & Bibles > Literature & Fiction,True,Visit Amazon's Colleen Coble Page,Bluebonnet Bride: A Butterfly Palace Story,"<DIV>RITA-finalist Colleen Coble is the author of several bestselling romantic suspense series, including the Mercy Falls, Lonestar, and Rock Harbor series. She lives with her husband, Dave, in Indiana.</DIV>","I enjoyed this book very much,  it had a very nice story. I have read more of her books. The stories are very good.",Bluebonnet bride
49.92,2006.0,5.0,Science & Math > Biological Sciences,True,Professor David MacDonald,The Encyclopedia of Mammals,The reviews speak eloquently about the contents of this book. A fine book for understanding and appreciating the mammals of the earth. Enjoy.,"I bought this beautiful & informative reference book because it was cited as a source for information on extant mammal anatomy in the very excellent ""The Fossil Vertebrates of Florida"" by Dr. Richard Hulbert. I was not disappointed with my purchase; the book includes a plethora of information.",An excellent reference book
16.97,2248.0,4.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Laurence Shames Page,Tropical Depression,"""Sunny screwball comedy."" -- <i>New York Times Book Review</i>",Fast read and very entertaining.  It's nice to find a story without an excessive amount of foul language and no gratuitous sex scenes.,Cute story
12.95,2601.0,5.0,Religion & Spirituality > New Age & Spirituality,True,Theitic,"The Witches' Almanac, Issue 34, Spring 2015-Spring 2016: Fire: The Transformer",<b>Theitic</b> is a prominent member of the New England Pagan community. He became editor/publisher of The Witches' Almanac Ltd. upon the death of founder Elizabeth Pepper in 2005. He lives in Rhode Island.,Great Stories as always.,Five Stars
14.08,2582.0,3.0,"Mystery, Thriller & Suspense > Mystery",False,Visit Amazon's Lynn Cahoon Page,Mission to Murder,***A USA TODAY bestseller!***,"It's got it all. Food, books, murder of the bad guy, and a hunk boyfriend. Cozy mystery lovers will love this light read.",Cozy Mystery
8.41,2330.0,5.0,Literature & Fiction > United States,False,Visit Amazon's Linda Lael Miller Page,McKettrick's Choice (McKettrick Men Series #3),"""Strong characterization and a vivid western setting make for a fine historical romance."" -- <i>Publishers Weekly on McKettrick's Choice</i>","Miller has again given her readers another strong male character along with a cast of interesting,exciting, and worthy support community.",Another Miller Man!
12.2,2311.0,5.0,Romance > New Adult & College,True,Visit Amazon's Michelle A Valentine Page,Phenomenal X (Hard Knocks),New York Times and USA Today Best Selling Author Michelle A. Valentine is a Central Ohio nurse turned author of erotic romance and New Adult novels. Her love of hard-rock music and tattoos inspire her sexy novels.,In love with X! Cannot wait for more of him!!! It was so good I could feel the heat prickle up my neck as reading!,Love!
14.95,2474.0,2.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Julie Dewey Page,Forgetting Tabitha,KIRKUS REVIEW<span></span><span></span>,I don't loke books that use I alot this one does so not my cup of tea,Two Stars
6.74,2435.0,5.0,Travel > Europe,True,Visit Amazon's Giuseppe Gangi Page,Rome: Then and Now in Overlay,"Large format (10.25 x 9.75 inches) spiral-bound softcover with 24 photographs of ancient Roman buildings and plazas, each with full color overlay that fills in missing architectural features and other details of Rome in its glory. With historical notes.",Very interesting and informative.  Just want I wanted.,Five Stars
15.79,2606.0,5.0,Science Fiction & Fantasy > Science Fiction,True,Visit Amazon's Aldous Huxley Page,Island (Perennial Classics),A mirror for modern man. . . . Should be read and reread. (Saturday Review),Better than Brave New World,Five Stars
9.95,2710.0,5.0,Religion & Spirituality > Worship & Devotion,True,E. M. Bounds,The Complete Works of E.M. Bounds on Prayer,eight classics in one volume. using modern language.,"I would recommend this book to all in the modern church of today...holiness is not to be left to early history books, we all need a revival in our prayer closets today. I want all of God in my life and prayer must be number one in securing His presence.","Prayer is my all in all, to experience the depths of God..."
32.33,2150.0,5.0,Romance > Contemporary,True,Visit Amazon's Marie Force Page,Maid for Love (The McCarthys of Gansett Island Series) (Volume 1),"<span>""MAID FOR LOVE was a charming beach read that had you believing in the HEA."" </span><span>--</span><span>--Joyfully Reviewed</span>",Book was well written and was a fun read. It was also a joy to see happiness and trust prevail.,love story
13.94,2863.0,5.0,Literature & Fiction > Contemporary,True,Visit Amazon's Denise Grover Swank Page,The Player (Wedding Pact),"""I listened to the audio version by Shannon McManus who did an excellent job portrayed the characters, the dialogue, and the emotion in this novel."" ---Books, Chocolate & Lipgloss Audio Book Blog",The best book I ever read. I enjoyed a lot. I would recommend to everybody to read.,Five Stars
11.6,2084.0,5.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's R F Delderfield Page,To Serve Them All My Days~R F Delderfield,To Serve Them All My Days,"I love Delderfied's books, This is also part of a series and it is great to follow the family, and get involved with each of the characters. Each person comes alive in your mind.",Excellent author - hard to put down!
14.19,2790.0,4.0,Humor & Entertainment > Humor,True,Visit Amazon's A. J. Banner Page,The Good Neighbor,"A. J. Banner illuminates the darkest corners of the human heart with her stories of suspense. Born in India and raised in Canada and California, she earned degrees from the University of California, Berkeley. She lives with her husband on the Olympic Peninsula in Washington State.",Kept me guessing until the end. Makes you wonder about who may be in your life that you don't know as well as you thought.,Cliffhanger
35.0,1892.0,5.0,Humor & Entertainment > Radio,False,Visit Amazon's J. R. R. Tolkien Page,Hobbit and Lord of the Rings Trilogy - Boxed Set of 4 Books,Box set of JRR Tolkien's incomparable classic,I remember my father reading this to me as a child. I am thankful to know that naught has changed from then.,Greatly enjoyed
12.13,1636.0,5.0,Romance > Paranormal,True,Visit Amazon's Richelle Mead Page,Bloodlines: Golden Lily,THIS IS BRAND NEW BOOK.WE PROVIDE 100% CUSTOMER SATISFACTION.,"This book was so captivating I could not put it down. Richelle writes in a fashoin that allows you to lose yourself in the book, I could clearly see myself with the characters!!",Another Amazing Book by Richelle Mead!!
7.19,2778.0,5.0,Children's Books > Growing Up & Facts of Life,True,Visit Amazon's Jeanne DuPrau Page,"The Diamond of Darkhold (Ember, Book 3)","""An electric debut. Lina and Doon search parallels the universal adolescent quest for answers.<i>Publishers Weekly, </i>Starred<br /><br /><br /><i>From the Hardcover edition.</i>",Good series.,Five Stars
7.83,2463.0,5.0,"Mystery, Thriller & Suspense > Mystery",False,Visit Amazon's Laura Childs Page,Death by Darjeeling (A Tea Shop Mystery),Highly recommended by the Ladies Tea Guild,If you like tea you will like reading about all the different kinds of tea and where they come from.  The mystery  story was okay not outstanding. It was a nice cozy for an evening's read.,interesting characters
5.95,2389.0,5.0,Self-Help > Death & Grief,True,Visit Amazon's John Herrick Page,8 Reasons Your Life Matters,"John Herrick is the bestselling author of <i>Between These Walls, From the Dead,</i> and <i>8 Reasons Your Life Matters</i>. A graduate of the University of Missouri--Columbia, readers turn to him as a chronicler of spiritual journey and the human heart.",Inspirational. Good effort. Can personally relate to many points brought up by author.,Good effort. Can personally relate to many points brought ...
5.98,2562.0,5.0,Science Fiction & Fantasy > Fantasy,False,Visit Amazon's J. R. R. Tolkien Page,Hobbit,"The enchanting prelude to ""The Lord of the Rings""",A wonderful fantasy adventure,Wonderful
6.38,1974.0,4.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Rachel Van Dyken Page,The Bet,"<strong>""If you need a funny, light read ..., I promise you this is a superb choice!""</strong><b>MustReadBooksOrDie.com</b>",Enjoyed reading this book.  Was very easy read and very light.  Glad she made the choice she did in the two brothers.  You will enjoy reading this book.,Good book
12.21,2664.0,5.0,Comics & Graphic Novels > Graphic Novels,True,Visit Amazon's Stephan Pastis Page,King of the Comics: A Pearls Before Swine Collection,"Stephan Pastis is an attorney turned cartoonist. A graduate of the University of California, Berkeley, and the UCLA School of Law, he worked as a lawyer before trying his hand at cartooning. Pastis lives in the Bay Area with his wife and two children.",Funny!,Five Stars
8.99,2385.0,5.0,Literature & Fiction > Action & Adventure,False,Visit Amazon's David Michaels Page,"Ghost Recon (Tom Clancy's Ghost Recon, Book 1)",<b>David Michaels</b> is the author of two novels in Tom Clancy's Ghost Recon series and several in Tom Clancy's Splinter Cell series.,Thrilling experience.  I felt like I was right there!,I felt like I was right there
13.1,2628.0,4.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's David Baldacci Page,Camel Club,Pages are absolutely perfect no rips. Cover is in excellent condition also.,"I love the way Baldacci writes.  He keeps me reading.  I like the characters in ""The Camel Club"".",Good Read!
36.99,2027.0,5.0,Religion & Spirituality > Worship & Devotion,True,Visit Amazon's Beth Moore Page,Breaking Free Audios,Audio cassette tapes and guide.,beth is an anointed and appointed teacher who talks from the heart and soul. One learns and feels a connection to her .She is a very gifted and loving person and she llives from experience of faith,awesome
15.99,2741.0,5.0,Books > Christian Books & Bibles,True,The Church of Jesus Christ of Latter-day,"The Book of Mormon, the Doctrine and Covenants, the Pearl of Great Price","Triple Combination Includes the Book of Mormon, Doctrine and Covenants, and Pearl of Great Price bound in one book. It contains cross-references to all the standard works. It also includes an index and a section of maps, pictures, and Church history chronology. Softcover.",Excellent,Five Stars
7.19,2219.0,5.0,"Mystery, Thriller & Suspense > Mystery",True,Visit Amazon's Laura Childs Page,The English Breakfast Murder (A Tea Shop Mystery),"""TEA LOVERS, MYSTERY LOVERS, THIS IS FOR YOU.""<br /><br />""Just the right blend of cozy fun and clever plotting.""",The item was received in good condition  and quickly. I bought this item for someone else......so there is not much I cantell you about it.,book
8.78,2267.0,4.0,Biographies & Memoirs > Arts & Literature,True,Visit Amazon's Dyan Cannon Page,Dear Cary: My Life with Cary Grant,"<strong>Product Description</strong><br />He was the most charming, handsome, romantic, and famous leading man in the world... what could possibly go wrong?","If you love Cary Grant, this is a great book to read. The story kept my attention and it was a fast read.",Great book
4.76,1878.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Dean Koontz Page,Odd Hours,New,love the series.... loved this one.... can't wait for the next in the spring.... Hope the series continues strong.. Love the direction the books take..,Great Read!
17.14,2112.0,5.0,Children's Books > Growing Up & Facts of Life,True,Visit Amazon's Carol McCloud Page,Have You Filled a Bucket Today? A Guide to Daily Happiness for Kids,"This best-selling, award-winning, 32-page picture book has become one of the most effective character development programs offered to all ages.",this arrived in good condition and the story is great for children of all ages. I read and provided an activity to my preschool class.,great book
5.98,2301.0,5.0,Science Fiction & Fantasy > Fantasy,True,Visit Amazon's J. R. R. Tolkien Page,Hobbit,"The enchanting prelude to ""The Lord of the Rings""","Smaug is the best Dragon ever. Lots of action and a great adventure. Bilbo Baggins has a great personality, he's nice, and fun to see what he does next. Thorin is stern, stubborn, and determined. This book is very good and is worth the money. MUST BUY!!!!!!!!!",Best ever
7.99,2404.0,5.0,"Mystery, Thriller & Suspense > Mystery",True,Visit Amazon's Rex Stout Page,Black Orchids (Nero Wolfe),"<b>Rex Stout</b> (18861975) wrote dozens of short stories, novellas, and full-length mystery novels, most featuring his two indelible characters, the peerless detective Nero Wolfe and his handy sidekick, Archie Goodwin.","Great book, price and timely delivery!",Five Stars
12.42,2881.0,4.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Daniel Silva Page,The Messenger (Uk Edition),THIS IS BRAND NEW BOOK.WE PROVIDE 100% CUSTOMER SATISFACTION.,Another great Gabriel Aol series read,A fun read
47.23,2759.0,5.0,Arts & Photography > Photography & Video,True,Visit Amazon's David Taylor Page,Canon EOS 6D (Expanded Guides),<B>David Taylor</B> is an award-winning landscape and travel photographer.,"Great user manual for the EOS 6D.
Much more complete than the one that coms with the camera.
Julian Wasser
Photo enthusiast",Great informative must have volume.
3.59,2848.0,4.0,Christian Books & Bibles > Literature & Fiction,True,Visit Amazon's Barbara Warren Page,Deception,Barbara Warren is the author of several Inspirational romantic suspense novels. She lives on a farm in the rural Ozarks. She is also a freelance editor with several years experience.<br> barbarawarrenbluemountainedit.com,"This was an interesting book that kept me involved to the end.  Mystery, trust in God, and romance all kept my attention.",Presumed Dead
11.95,2854.0,5.0,Biographies & Memoirs > Leaders & Notable People,True,Visit Amazon's Bill O'Reilly Page,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),<h2>Amazon Exclusive: Senator John McCain Reviews <em>Killing Patton</em></h2>,"Hubby loved this book. Wants to read more of O'Reilly's ""Killing"" books.",Hubby approved
8.06,1870.0,5.0,Medical Books > Medicine,True,Eben Alexander MD,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Paperback Publisher: Eben Alexander (1672) ASIN: B01FRZ317G Package Dimensions: 8.2 x 5.5 x 0.5 inches Shipping Weight: 6.9 ounces,Proof of Heaven was written by a real professional.  The medical terms were explained for the lay person to understand.  Very realistic.,Proof of Heaven
3.42,2900.0,5.0,Literature & Fiction > Erotica,True,Visit Amazon's Chelle Bliss Page,Throttle Me (Men of Inked) (Volume 1),USA Today bestselling author Chelle Bliss is an American author who writes stories about real-life scenarios with fantasy Alpha males. Her works include humor as well as steamy sex.,loved it,Five Stars
18.98,2248.0,2.0,"Crafts, Hobbies & Home > Crafts & Hobbies",True,Visit Amazon's Sharon Pederson Page,More Reversible Quilts,"Hometown: Black Creek, British Columbia, Canada Sharon Pederson is a popular teacher who has taught hundreds of classes on her two-sided quilt technique.","I found the information very confussing.  Had to go to too many places just to finish a block.  If it was in sequence it would have been much more friendly to use.
GB",Scattered info
